 	che	non	li	aspettiamo	</S>
n	0.09633987	0.01303308	0.0036282118	0.0030070124	0.88399184
a	0.1773862	0.6971045	0.124533325	0.00020060483	0.0007753047
m	0.2375775	0.6798629	0.07600746	0.00052432367	0.006027788
i	0.6657963	0.06645033	0.22725004	0.0017734977	0.03872981
t	0.17041074	0.68821245	0.13740943	0.0003123309	0.0036549831
u	0.024234232	0.01393849	0.0076771816	0.8809041	0.07324606
s	0.15197209	0.7799384	0.064267464	0.0032069837	0.0006150369
m	0.00087818765	0.0029418673	0.010972992	0.5037014	0.48150557
ì	0.63789505	0.09576249	0.02725341	0.18916921	0.04991984
n	0.16486073	0.1666279	0.5787198	0.077968664	0.011822856
o	0.8924052	0.017980738	0.047751486	0.0010345957	0.040827945
m	0.049438402	0.123978145	0.08645743	0.65117824	0.08894785
e	0.4322055	0.037302963	0.092705265	0.0042267363	0.4335596
</S>	0.00452692	0.016286869	0.16699733	0.16567515	0.64651376
