 	ho	rotto	una	bottiglia	</S>
è	0.51022756	0.00020338461	0.0023765932	0.34928077	0.13791169
g	0.032382064	0.9611899	0.005746485	0.0003195888	0.00036211827
l	0.35005346	0.17848903	0.12981181	0.32326907	0.018376628
a	0.0419573	0.86938995	0.0883478	5.4191783e-05	0.0002508356
s	0.68212503	0.28515556	0.030929724	0.0005858061	0.0012038901
a	0.021014871	0.53608596	0.40917867	5.344167e-05	0.03366712
m	0.124936506	0.75883406	0.11190647	0.00046880348	0.00385423
i	0.54899585	0.02904112	0.21245156	0.15083732	0.058674194
a	0.07386701	0.6300788	0.25526577	0.006856534	0.033931855
b	0.0013089848	0.17529447	0.41554967	0.12271998	0.28512686
u	0.15785702	0.65031916	0.08970502	0.014731333	0.08738747
t	0.01541109	0.044272184	0.28357053	0.531457	0.12528919
t	0.002676723	0.0014225862	0.0020712703	0.25947574	0.73435366
ì	0.004549554	0.046583258	0.08702649	0.6856185	0.17622219
g	0.0033489936	0.06340702	0.19520533	0.67013043	0.06790829
l	0.1445527	0.011929743	0.020091586	0.61092985	0.21249612
i	0.0057824105	0.009499862	0.012492246	0.9680272	0.0041982885
a	0.01291223	0.06059903	0.29649058	0.11178111	0.518217
</S>	3.5630623e-05	0.0007544226	0.003136989	0.052398585	0.9436743
