 	l	ho	sentito	che	viene	</S>
o	0.96314085	0.004901683	0.00029998613	0.0036312484	0.006733804	0.021292428
n	0.00014953193	0.0014422607	0.9755019	0.022296403	0.00060741423	2.5646473e-06
ì	9.123413e-05	0.08572882	0.1394071	0.77121955	6.6829845e-05	0.0034865504
k	0.0005370031	0.03630727	0.9040828	0.05900878	4.7442358e-05	1.6733802e-05
u	0.0064280867	0.009410519	0.40712613	0.48287567	0.09404627	0.000113330156
s	0.1540295	0.764558	0.046087246	0.03529129	1.4285823e-06	3.2558382e-05
a	0.00042877585	0.08019045	0.22049157	0.6719844	0.0028109145	0.024093859
n	0.010848831	0.107667305	0.52899486	0.35183132	0.00060381426	5.3850308e-05
a	0.0024627647	0.024857463	0.039370712	0.13439459	0.3246562	0.4742583
r	0.26984116	0.14814892	0.09562518	0.2756663	0.17694558	0.033772793
t	0.0013252231	0.0015043342	0.0010725297	0.0035496042	0.6764532	0.31609517
i	0.016048485	0.018964784	0.003292006	0.018235777	0.21815036	0.7253086
</S>	0.03102295	0.040070716	0.0038258997	0.020325044	0.05019178	0.8545636
