 	non	sono	andati	</S>
e	0.9634427	0.010958741	0.0023442712	0.023254268
n	0.10790066	0.4927487	0.37477228	0.024578305
è	0.0012573419	0.78962165	0.018489847	0.19063121
c	0.14571069	0.83259815	0.004606967	0.017084245
h	4.081303e-05	0.0012703568	0.9976025	0.0010863191
u	0.3223395	0.6774537	0.00017584265	3.0905896e-05
n	0.39462993	0.5709541	0.008750923	0.025665054
e	0.005728827	0.054211568	0.7327673	0.20729233
p	0.098452985	0.839871	0.013565881	0.048110064
a	0.00039024334	0.00040603272	0.98527837	0.013925435
m	0.077324	0.3740127	0.056329057	0.49233422
è	0.00054493366	0.00087320065	0.96126634	0.037315447
n	0.0064211865	0.020581685	0.70197	0.27102715
a	0.09667612	0.0022299374	0.87427354	0.026820475
</S>	0.04638516	0.15534186	0.07871246	0.71956056
