 	i	genitori	non	è	che	li	dimentichiamo	mai	</S>
u	0.37029925	0.17127134	0.23707764	0.07058218	0.019347727	0.028752482	0.00033344494	0.009327028	0.09300887
g	0.0035287526	0.37489313	0.12841094	0.0020038565	0.0258398	0.0685789	0.096288145	0.26962113	0.03083538
e	0.24180798	0.006891553	0.078817256	0.04149266	0.38050497	0.10665373	0.12270212	0.0073748366	0.013754854
n	0.26231453	0.018774532	0.64474773	0.038135502	0.029227111	0.0015445172	0.0037891902	0.00015012664	0.0013167216
i	0.07534208	0.010942971	0.06605902	0.032685883	0.21251155	0.03186057	0.28859228	0.051656824	0.23034887
t	0.23916313	0.014079018	0.59131694	0.112510554	0.03637138	0.0006402608	0.005520275	2.1516635e-05	0.00037696413
ò	0.008540045	0.004268864	0.015208329	0.014904913	0.05271433	0.0129838325	0.66929704	0.023050513	0.19903217
r	0.47282887	0.0022114858	0.1628176	0.21512368	0.113220565	0.01008384	0.023547621	1.0745073e-05	0.0001555482
u	0.08975077	0.20804271	0.2142585	0.06801006	0.32136756	0.06752246	0.0065422445	0.013901679	0.010604017
e	0.16756119	0.11599338	0.51950973	0.1389314	0.05446121	0.0013684594	0.0021323462	8.051294e-06	3.416652e-05
n	0.015121372	0.07270691	0.20057799	0.21385019	0.2862844	0.16641198	0.043111283	0.0015834991	0.00035240402
è	3.6384645e-05	0.00024303286	0.0019745764	0.0026434949	0.0110308565	0.005625404	0.8790642	0.01027486	0.089107126
n	0.047540847	0.008458802	0.21055773	0.21529037	0.31182286	0.09490367	0.10938373	0.00027248723	0.0017694925
u	0.110547975	0.1709171	0.11656567	0.071462795	0.24588108	0.2197789	0.009843088	0.035384327	0.019619077
s	0.04446275	0.07863489	0.27611014	0.34456116	0.23352337	0.011064129	0.011432851	5.2024447e-05	0.00015864041
a	0.010907894	0.008834674	0.0197525	0.033684246	0.05701315	0.057178278	0.6840854	0.06477575	0.06376809
l	0.006542662	0.21198966	0.3770042	0.19423363	0.17165872	0.031744346	0.0061937533	0.00022966761	0.0004032738
l	0.017014002	0.007914782	0.01895857	0.0070137368	0.016373057	0.018816922	0.00782625	0.75745976	0.14862284
i	0.11861235	0.009136777	0.039404325	0.057371873	0.34585893	0.17081058	0.115817584	0.033171296	0.10981624
m	0.009530295	0.01232611	0.009944067	0.07587189	0.06730575	0.026658393	0.7961474	0.00044855717	0.0017674842
o	0.06676497	0.013895986	0.020639058	0.004301298	0.013763522	0.03343147	0.00048674637	0.8043197	0.042397283
n	0.017090637	0.027807819	0.041781858	0.25762755	0.2395013	0.049364954	0.3614079	0.00043114854	0.0049868794
ì	0.011589398	0.001826243	0.0043140994	0.00229355	0.004045533	0.0059677307	0.0012646776	0.867398	0.10130065
s	0.0007601431	0.0004720205	0.00061017263	0.008281122	0.007286261	0.013893096	0.9678095	0.0003555579	0.00053208024
o	0.13204038	0.024646182	0.026364367	0.04492131	0.04139306	0.15880466	0.011362105	0.3570126	0.20345534
m	0.004496763	0.0023178002	0.008012446	0.10562383	0.10715382	0.057541996	0.68333983	0.0028822501	0.028631266
e	0.031205118	0.011547565	0.0064563504	0.0023619242	0.0047238437	0.06910738	0.00035205088	0.8628658	0.011380035
m	0.00364899	0.003873349	0.004707818	0.052633278	0.0470149	0.034228884	0.8327763	0.0021548877	0.018961519
a	0.016705034	0.004853009	0.004229466	0.0014681669	0.0038230252	0.036728695	0.0002875838	0.91944665	0.012458478
i	0.0067052785	0.0057613957	0.006982701	0.060796816	0.06744171	0.062494706	0.7425522	0.003992226	0.043272886
</S>	3.7515143e-05	7.4032185e-05	0.00033691677	0.0032128259	0.0031571358	0.049700275	0.31542215	0.47302675	0.15503243
