 	mio	padre	ha	lavorato	sempre	</S>
o	0.64225334	0.0138111105	0.0033547366	0.27028015	0.010812428	0.05948818
c	0.0012054055	0.11887541	0.22969998	0.049305696	0.58742994	0.013483567
i	0.49995536	0.24012393	0.06877829	0.11307087	0.07729928	0.0007723082
ù	0.163173	0.083171055	0.4727641	0.20594665	0.07084833	0.0040967343
r	0.31878385	0.6420447	0.020532971	0.014024227	0.0020638898	0.0025502923
i	0.038468383	0.18296535	0.55811846	0.088335335	0.107325494	0.024786996
m	0.32320082	0.41395	0.2578848	0.0042465855	0.00033370874	0.0003840869
m	0.09230914	0.018227821	0.025238128	0.2726524	0.58210945	0.009463083
u	0.28098738	0.41078994	0.28172863	0.025847942	0.00050290034	0.00014332123
è	0.077189974	0.32196862	0.5978592	0.0011568837	0.00078040146	0.0010449939
p	0.0016912406	0.04343629	0.017487021	0.7068233	0.22090219	0.009660009
o	0.08758292	0.17601486	0.1986443	0.0063238237	0.42617336	0.10526071
l	0.05546642	0.23147903	0.64725846	0.049602587	0.012940583	0.0032529659
e	0.24426289	0.07643292	0.05008683	0.13481273	0.34926677	0.1451379
m	0.0600287	0.23070262	0.54333675	0.13040051	0.018708711	0.01682265
i	0.16199088	0.040950514	0.032191303	0.08434713	0.57053864	0.10998154
m	0.051980916	0.2202411	0.39541018	0.22537239	0.04856838	0.058426995
m	0.08111954	0.035372514	0.028981775	0.016072303	0.7038639	0.13459
è	0.52095634	0.30628395	0.054137856	0.10471004	0.0077903774	0.006121479
n	0.0007401283	0.010231372	0.02797439	0.16771257	0.7216689	0.07167257
a	0.4758555	0.12966767	0.027908156	0.13351	0.20656809	0.026490694
p	0.09185513	0.28329945	0.15857075	0.12630075	0.053789966	0.28618398
à	0.2018982	0.06807699	0.023599518	0.0015777299	0.5765326	0.128315
n	0.00050147506	0.0020219567	0.0011175355	0.015092804	0.9183559	0.06291038
t	0.07729537	0.088439114	0.041567516	0.014621318	0.6340989	0.14397773
a	0.50267524	0.10730178	0.013718871	0.22516881	0.14473002	0.0064052567
</S>	0.0077837203	0.028268289	0.014612142	0.044068914	0.25332767	0.6519393
