 	cosa	fa	Anna	il	sabato	mattina	</S>
t	0.5305915	0.11442985	0.18627033	0.030352209	0.09843072	0.0057827	0.03414275
i	0.91430503	0.02750928	0.00017776842	0.0030533432	0.018123075	0.03556666	0.0012648413
k	0.70676285	0.24253294	0.014651402	0.009579989	0.01742269	0.003482571	0.0055676145
à	0.17679209	0.08327373	0.028107967	0.18274961	0.059841353	0.39488384	0.07435137
n	0.062193036	0.79249394	0.008361165	0.0069514965	0.0025306821	0.044002652	0.083467014
n	0.020829212	0.0061295056	0.0007776889	0.0024095173	0.081211664	0.87857825	0.010064148
i	0.59884775	0.12936988	0.18323386	0.028026992	0.02245081	0.013422071	0.024648685
e	0.4388177	0.32607242	0.0344768	0.01238267	0.052796282	0.047990438	0.08746362
A	0.004162932	0.084397994	0.010782784	0.07813992	0.06169524	0.73084384	0.029977212
n	0.0104342345	0.5209406	0.1162308	0.22029214	0.04031007	0.03872526	0.05306699
n	0.01085379	0.010968981	0.0014544481	0.025846785	0.11460612	0.82834035	0.007929526
a	0.14915796	0.13575178	0.07280454	0.35099638	0.22242725	0.051121786	0.017740272
o	0.027550304	0.07873424	0.30906725	0.05833	0.26361403	0.20918271	0.053521488
s	0.0006117408	0.016928434	0.022004262	0.18140985	0.121398784	0.62221915	0.03542778
à	9.1888505e-05	0.00015663351	0.00013620006	0.002043572	0.12839508	0.7128562	0.15632038
m	0.00025758447	0.00386826	0.10966171	0.030001208	0.43701005	0.17698982	0.24221134
b	0.01486035	0.00043738476	4.714246e-05	0.00082599395	0.1975028	0.77507466	0.011251755
a	0.07657577	0.050895248	0.31043562	0.43423113	0.122661866	0.00472161	0.00047873
p	0.008683993	0.008610762	0.16337013	0.5929496	0.06756806	0.03968471	0.11913267
o	0.31351045	0.0061310264	0.000111263806	0.010802955	0.43952072	0.22768337	0.0022402015
r	0.0021684656	0.0015891106	0.109185584	0.045358203	0.3203414	0.15209179	0.36926547
n	0.0021873815	8.446657e-05	3.6182964e-06	0.00014748014	0.13551131	0.700654	0.1614118
ò	0.030202534	0.011030294	0.014111015	0.04598433	0.5411591	0.24733752	0.110175155
</S>	3.7041606e-05	6.296796e-05	0.0016351318	0.0059811804	0.034545086	0.69697326	0.26076534
