 	non	vuole	mangiato	mangiato	tutta	una	volta	</S>
e	0.94815016	0.011238341	0.00407019	0.0012444747	0.028670687	0.0016974179	1.664029e-05	0.0049120896
t	0.004678991	0.6057031	0.27941358	0.04817304	5.9595317e-07	0.015780749	0.00067223626	0.04557775
è	0.023403833	0.18597606	0.16894786	0.44049087	0.00028420798	0.14199543	0.014577951	0.02432378
l	0.014004323	0.9596173	0.022122035	0.0020189642	1.2275832e-06	0.0016851487	0.00020985908	0.000341083
i	0.21892646	0.2616022	0.08882514	0.42783797	0.00032324818	0.0017992624	0.000108378146	0.0005774215
f	0.30223405	0.39311272	0.29241836	0.011985024	9.95929e-07	0.00015697343	1.2655962e-05	7.9150246e-05
a	0.23030658	0.16427411	0.015908746	0.54211897	0.030390251	0.0056264144	0.00046404195	0.010910875
m	0.07206766	0.23681083	0.5007399	0.18777503	2.725738e-05	0.002318921	6.6415865e-05	0.00019400066
è	0.46258473	0.17531496	0.008692339	0.29232067	0.022833811	0.0059824246	0.0014145477	0.030856494
n	0.039051853	0.44046503	0.24909674	0.03382597	3.9878283e-05	0.23607498	0.000847555	0.0005979938
o	0.46064648	0.10267968	0.038618114	0.35193843	0.02834855	0.014639592	0.0002374778	0.0028916304
o	0.020626448	0.091689624	0.36549366	0.49718702	0.0010260718	0.023386274	0.00020115843	0.00038973457
l	0.010141971	0.068928964	0.1642704	0.45161846	0.0010841178	0.29083058	0.0013515974	0.011773893
i	0.57448214	0.07036326	0.028223803	0.23437272	0.02307104	0.03857148	0.0019262313	0.028989272
m	0.03480263	0.0477294	0.28139812	0.44814456	0.016655512	0.15646414	0.013796821	0.0010088417
i	0.42427674	0.17228858	0.015132085	0.33842924	0.0005588853	0.0014154053	0.0042900494	0.04360905
a	0.025217874	0.044199526	0.1531187	0.5106491	0.025030565	0.23698373	0.0010016079	0.0037989928
f	0.0007737038	0.008728608	0.022600936	0.14025667	0.0010633046	0.718824	0.039484944	0.06826779
o	0.5072663	0.07953224	0.021948652	0.23271291	0.016887447	0.031494778	0.0039973413	0.10616034
r	0.009258571	0.007144709	0.045417916	0.19812007	0.16722234	0.4188528	0.14829794	0.0056856507
à	0.13002855	0.034867566	0.009631105	0.03879587	0.00011263183	0.005309714	0.121960305	0.65929425
</S>	6.776096e-05	0.0002010172	0.000762124	0.001771048	0.00077078753	0.17794435	0.8121845	0.006298347
