 	devo	pulire	l	albero	</S>
è	0.1994671	0.043264765	0.16630751	0.21627939	0.37468126
n	0.012852921	0.89558244	0.090689786	0.0003142192	0.000560629
a	6.0020608e-05	0.5339632	0.45274407	0.0077951313	0.00543757
k	0.009007702	0.8237591	0.16577436	0.0005654539	0.00089347054
a	0.0015994426	0.029524134	0.8204644	0.07392512	0.07448693
t	0.015844125	0.8136583	0.16945727	4.9756432e-05	0.0009905389
à	0.0039223814	0.005166111	0.00768667	0.26250845	0.7207164
r	0.40559238	0.5262797	0.051741533	0.009535707	0.00685066
o	0.0021857386	0.10568584	0.7718766	0.10464829	0.015603506
t	0.06629238	0.76907593	0.15871444	0.0031857707	0.0027314841
o	0.0056423037	0.012996887	0.0574706	0.8390209	0.08486924
n	0.020005155	0.27699432	0.659158	0.019405257	0.024437262
à	0.002093681	0.0011527276	0.0057070116	0.75417453	0.23687199
r	0.024527712	0.6189972	0.14607441	0.10330635	0.10709428
b	0.00631471	0.0028869726	0.013199568	0.7875312	0.19006762
u	0.08594108	0.124305345	0.33684695	0.26419434	0.18871233
r	0.18165545	0.051457115	0.05569986	0.49883103	0.21235648
o	0.0057242378	0.0016903927	0.007183549	0.96475315	0.020648636
</S>	0.001833977	0.065904155	0.05920797	0.25660437	0.61644953
