 	non	deve	magniare	la	sera	</S>
e	0.8939689	0.027020788	0.00028408752	0.036641154	0.0012054016	0.040879745
n	0.0021228683	0.78789407	0.14209121	0.063316554	0.0044905264	8.482295e-05
è	0.0010073357	0.011313657	0.11201168	0.017744416	0.82991755	0.028005457
n	0.0057853064	0.09822934	0.8205749	0.07486982	0.00053457293	6.150004e-06
a	9.93261e-05	0.024494566	0.71803844	0.044667114	0.21246886	0.0002317887
f	0.007715766	0.75237983	0.15544407	0.08435211	0.000104249186	4.0046693e-06
à	0.04212698	0.0032654665	0.04518798	0.032503642	0.8727457	0.0041703386
i	0.06552957	0.050958198	0.8608009	0.018079849	0.0039475914	0.0006838856
t	0.05371621	0.027574696	0.03553163	0.7986178	0.060616765	0.023942944
o	0.0039584683	0.0030530996	0.014186193	0.00434664	0.92136216	0.05309349
v	0.023358116	0.08820201	0.035146657	0.8428657	0.008619736	0.001807816
r	0.0021072766	0.0009658757	0.0035015612	0.00042854936	0.97856176	0.0144349
à	0.0028059802	0.00058031775	0.007866854	0.0008282028	0.94920975	0.038708884
i	0.04457904	0.04346343	0.21925409	0.098658085	0.4479263	0.14611901
</S>	0.008320007	0.0028500697	0.009646977	0.121190645	0.75905704	0.09893528
