 	il	lenzuolo	vuole	lavato	</S>
o	0.99245787	0.00010725604	0.0009883245	4.6858124e-05	0.0063996394
p	0.017588876	0.7184787	0.2610459	0.00079337094	0.0020932006
l	0.2304218	0.06388197	0.53665775	0.14050984	0.028528664
a	0.029463854	0.87693286	0.031508543	0.06186914	0.00022563105
ù	0.01121544	0.92486846	0.06305632	0.00077872106	8.10072e-05
n	3.357216e-05	0.06300152	0.93441534	0.001629322	0.0009202601
a	0.012526493	0.052425444	0.28386992	0.60807854	0.043099634
t	0.19192836	0.53154325	0.2748016	0.0015335155	0.00019324917
è	0.0043869996	0.011884786	0.051777832	0.61946964	0.31248075
l	0.009277253	0.26342475	0.7089242	0.017198326	0.0011754676
i	0.80450714	0.0023358432	0.108681306	0.014127985	0.07034762
p	0.025429538	0.23342945	0.67198294	0.066116706	0.003041412
l	0.18474437	0.0014084107	0.047151525	0.088214755	0.6784809
i	0.30281615	0.054778483	0.21599922	0.37446192	0.05194423
m	0.002035752	0.009285037	0.08666315	0.85231405	0.04970205
è	0.05528922	0.002211961	0.0096791275	0.45426333	0.47855633
n	0.0002839791	0.0025282544	0.063335426	0.924585	0.009267332
o	0.95792973	0.00069724006	0.013983181	0.003771736	0.023618132
</S>	0.00081448903	0.0075346925	0.04975027	0.8255929	0.11630767
