 	non	mangiare	la	sera	</S>
m	0.9467318	0.0001522842	0.016679952	0.00030662378	0.036129355
i	0.3168596	0.22316244	0.30618247	0.15278131	0.0010141832
f	0.119638525	0.2244273	0.63782936	0.014613348	0.0034914766
a	0.0010112269	0.0012522194	0.00054503523	0.9953927	0.001798932
i	0.10091823	0.2658669	0.6254761	0.005707149	0.0020316192
o	0.010695568	0.055163782	0.50298786	0.3560925	0.07506024
v	0.04173424	0.032693353	0.74162483	0.14220475	0.0417428
r	0.02475201	0.0021087518	0.015186959	0.8911217	0.06683059
à	0.00043572945	0.005531322	0.0007657442	0.9844356	0.008831571
i	0.11658244	0.75501806	0.094502896	0.027620547	0.006276035
</S>	0.033913974	0.004775652	0.20791496	0.61465937	0.13873607
