 	è	che	sono	usciti	</S>
è	0.6093819	0.0023877535	0.005309986	0.007483262	0.37543702
n	0.0878796	0.36989766	0.541109	0.0010686687	4.504763e-05
a	0.00011712353	0.24249913	0.6145265	0.14283802	1.918495e-05
g	0.01053047	0.6245723	0.36340255	0.0014937804	9.905373e-07
u	0.003393766	0.022905748	0.010956266	0.95472443	0.00801979
ì	0.0091284765	0.24831907	0.7025894	0.036546044	0.0034170682
k	0.00046363773	0.018651254	0.93006396	0.029947296	0.020873848
a	0.022384329	0.022945916	0.02777787	0.81602913	0.11086275
n	0.035596114	0.13760167	0.54160553	0.22744834	0.057748366
e	0.011416747	0.0067638215	0.008733225	0.5098976	0.46318862
</S>	0.0150777595	0.031718824	0.1381196	0.39313585	0.421948
