 	l	ha	scritta	</S>
t	0.8054999	0.009269191	0.07695284	0.108278155
o	0.00044805458	0.9986511	0.000857199	4.3665957e-05
è	0.23471436	0.75991774	0.0035189276	0.0018488996
g	0.041063238	0.9521061	0.0060222573	0.00080834713
r	0.0029188078	0.72825664	0.25978005	0.009044455
a	0.039714444	0.94149387	0.008549824	0.010241918
t	0.031683557	0.63654035	0.3079168	0.023859328
s	0.003222149	0.86032706	0.09917704	0.03727369
e	0.048757114	0.7896536	0.028707718	0.13288158
</S>	0.0011353174	0.07387856	0.48866174	0.4363244
