 	che	non	li	aspetiamo	</S>
n	0.0744837	0.010581452	0.0022753251	0.0025974277	0.9100621
a	0.14994249	0.72250193	0.12658542	0.00034566273	0.000624503
m	0.24980125	0.6742335	0.06920726	0.0006118453	0.0061461558
i	0.60386527	0.079189494	0.26200917	0.004236544	0.05069951
t	0.14804411	0.69400674	0.15326108	0.00046958684	0.004218542
u	0.012279665	0.0071223066	0.004806384	0.9301118	0.04567984
s	0.15430515	0.77471423	0.06482177	0.005343486	0.0008153673
m	0.00055800116	0.0019281486	0.008492009	0.65754914	0.33147264
ì	0.5102951	0.07975477	0.02376252	0.3299357	0.05625192
n	0.1631587	0.17596042	0.5313355	0.11715836	0.0123871
o	0.8881178	0.02055512	0.039666098	0.0017292205	0.049931787
m	0.03329892	0.07850835	0.066970915	0.742327	0.07889488
e	0.39983064	0.0441457	0.096848845	0.007892906	0.45128188
</S>	0.0032989648	0.01294504	0.1689288	0.17697266	0.6378545
