 	le	ragazze	vogliono	guardate	</S>
t	0.16160983	0.016507853	0.61352605	0.06886904	0.13948728
a	0.32479987	0.671349	3.2920232e-06	0.0037582808	8.951554e-05
k	0.34754744	0.6439054	0.006989743	0.0007248631	0.0008326224
o	0.6982284	0.24075095	0.038852185	0.016933339	0.00523509
r	0.16489871	0.7983762	0.030998116	0.00067714084	0.0050498615
à	0.019105993	0.017837433	0.004391276	0.46646106	0.49220428
s	0.788042	0.20178616	0.009322084	0.0005184158	0.00033145514
i	0.14374931	0.63088095	0.049116287	0.14587677	0.030376738
a	0.14906642	0.84217906	0.00843104	0.00024984108	7.362567e-05
t	0.00909729	0.18289298	0.8025602	0.005182882	0.00026660823
è	0.0030743072	0.0019453184	0.0022993877	0.6649056	0.32777542
l	0.16979522	0.69212425	0.11380144	0.019635309	0.0046437914
o	0.40724668	0.035376687	0.5092876	0.03693516	0.011153882
n	0.167636	0.7304792	0.05647177	0.03966366	0.005749368
e	0.011083892	0.0048011397	0.005062286	0.870527	0.10852569
k	0.03371654	0.21422048	0.7150226	0.028793804	0.008246613
a	0.009856523	0.0071450854	0.0010065342	0.8425097	0.13948214
n	0.001786231	0.008872067	0.8810171	0.06722978	0.04109472
o	0.0042505586	0.0015729415	0.0044087362	0.6397555	0.35001227
n	0.0019582103	0.008371153	0.5860268	0.26147598	0.14216793
i	0.003782346	0.0010959867	0.0027770912	0.56162834	0.43071625
m	0.001306857	0.0038189827	0.1523123	0.5634298	0.27913216
m	0.06437606	0.024329746	0.0039142095	0.54653054	0.36084935
è	0.3787139	0.02761854	0.00538838	0.40461752	0.18366158
n	0.0026753792	0.0035885265	0.040627092	0.76693565	0.18617333
a	0.95480597	0.015982732	0.01095949	0.014307857	0.0039439965
</S>	0.0019968718	0.0015733783	0.011953371	0.6018161	0.3826602
