 	non	mi	aspetti	non	vengo	</S>
m	0.9707391	0.0033046068	9.2807524e-05	0.0023403203	0.009743641	0.013779475
ì	0.008771444	0.0006973298	0.0021201565	0.9716287	0.016532123	0.00025022344
m	0.089652546	0.3780816	0.5200008	0.011969802	0.00015135981	0.00014394973
e	0.032913994	0.00013689382	0.00018660807	0.19793065	0.7621368	0.0066950223
m	0.08592846	0.26539603	0.4955804	0.1506174	0.0006893308	0.001788348
ì	0.022175053	4.345903e-05	3.8420952e-05	0.10935842	0.8647495	0.0036351401
n	0.10209258	0.008541156	0.0017348736	0.8705372	0.015574573	0.0015196336
i	0.34040982	0.00026287689	7.1017894e-05	0.4514422	0.20487054	0.0029436578
e	0.11251739	0.01003032	0.0012188426	0.85144985	0.020592188	0.0041915164
n	0.008690153	0.00024300873	7.292678e-06	0.32661366	0.6377659	0.026680002
è	0.00080052606	0.0022211687	0.0005317438	0.019749494	0.20629996	0.7703971
r	0.0215301	0.2502337	0.35543168	0.06176892	0.12932223	0.18171334
k	0.021512693	3.900614e-05	2.531296e-05	0.05439865	0.87946904	0.044555273
o	0.16884193	0.00016499733	2.3758084e-05	0.3585883	0.4486725	0.023708507
m	0.21947822	0.1111566	0.06830607	0.11960123	0.072704084	0.40875384
e	0.030793767	0.0027972502	0.018998178	0.005392119	0.9387544	0.0032643063
</S>	0.039601933	0.027199069	0.010759835	0.06444177	0.024417922	0.8335795
