 	ha	che	sono	usciti	</S>
è	0.78933525	0.0014132187	0.002854549	0.0038571248	0.20253989
n	0.044412807	0.35328782	0.60043526	0.001785269	7.884011e-05
a	4.827849e-05	0.24368246	0.5378541	0.21838045	3.4737597e-05
g	0.0042046206	0.5701692	0.42243716	0.003187592	1.4986897e-06
u	0.0020479716	0.019937111	0.0067314547	0.9628783	0.008405211
ì	0.008493747	0.26823026	0.66757	0.051293384	0.0044126078
k	0.00029883478	0.02182487	0.9184115	0.030308373	0.029156452
a	0.017298797	0.021104226	0.021181704	0.7968637	0.14355165
n	0.03726022	0.1426113	0.49661487	0.2442024	0.07931121
e	0.016438372	0.0078120613	0.008284739	0.49249834	0.47496653
</S>	0.019381912	0.029017303	0.107654035	0.3340233	0.50992346
