 	il	morto	si	piange	</S>
o	0.976188	0.00089491316	0.0015707354	0.00010437362	0.021241909
a	0.032967187	0.5332448	0.4322402	0.00081672735	0.00073113665
p	0.45159078	0.4549072	0.08959905	0.0009943731	0.0029086845
e	0.109304175	0.6164095	0.11954829	0.04107928	0.11365876
t	0.15825681	0.78084135	0.05353215	0.0028782089	0.004491422
a	0.00089388	0.030456897	0.020628838	0.5202287	0.4277917
m	0.16594751	0.7830019	0.044116836	0.0034214666	0.0035122677
m	0.03539146	0.121078596	0.106001414	0.010146036	0.72738254
è	0.014250229	0.7332891	0.014982371	0.22509427	0.012384046
n	0.01986996	0.2771838	0.6831967	0.019529639	0.00021984645
o	0.64043117	0.20365931	0.08385581	0.01021188	0.06184189
i	0.18696578	0.46705887	0.19698213	0.12515943	0.02383377
k	2.2611926e-05	0.01507472	0.6146982	0.28760335	0.08260115
l	0.16734985	0.03839183	0.08863332	0.04226284	0.66336215
è	0.0011813359	0.05936166	0.010115512	0.83684343	0.0924981
e	0.008216733	0.008791253	0.04253212	0.939119	0.0013409918
t	0.0026851394	0.014530449	0.8909285	0.016036857	0.07581899
e	6.802723e-05	0.0052203923	0.00018817792	0.56655633	0.427967
</S>	0.008887571	0.011447823	0.053165555	0.4429502	0.48354888
