 	non	aveva	da	stare	</S>
e	0.89759177	0.0036883983	0.006433589	0.018321333	0.073965
n	0.0024850913	0.14986977	0.6904711	0.15715925	1.476654e-05
ì	0.001778484	0.1201495	0.87553287	0.002362877	0.00017631649
c	0.012125685	0.8428871	0.14281215	0.002167541	7.430946e-06
h	5.2521336e-05	0.00681609	0.22198294	0.7711219	2.658762e-05
e	0.3146165	0.53672373	0.14856286	8.710539e-05	9.881048e-06
n	0.10054161	0.5562009	0.33370686	0.00027157276	0.009279116
a	0.009328722	0.22905952	0.4808575	0.22250979	0.05824444
s	0.029132951	0.42153114	0.5445527	0.002800047	0.0019830952
t	0.00130582	0.0021966149	0.012167258	0.70878124	0.27554905
a	0.013781654	0.06609625	0.23738238	0.65867966	0.024060067
s	0.026385192	0.20404662	0.10971809	0.0045300466	0.65532005
ì	3.756145e-05	0.00063535286	0.0033149985	0.8524195	0.14359257
</S>	0.0003697804	0.0018005827	0.0012104138	0.0047286684	0.99189055
