 	il	vestito	della	sposa	vuole	bianco	</S>
o	0.9769686	0.012955747	0.00072169304	3.6821824e-05	0.004460773	0.00018380211	0.0046724896
à	2.2861235e-05	0.0039875438	0.12416958	0.8636615	0.0072800107	0.00080982933	6.852771e-05
b	0.0021873165	0.109841324	0.03092723	0.6090601	0.24574001	0.0012490042	0.0009949438
b	0.012517638	0.4686423	0.5068113	0.0033301637	0.0017529685	0.006872555	7.302308e-05
i	0.09399695	0.4476503	0.09007242	0.33332315	0.033378135	0.0015539033	2.5087662e-05
t	0.15564668	0.76740825	0.045247994	0.019547198	0.004776311	0.007213738	0.00015983272
o	0.012857288	0.7818312	0.15172271	0.0016104191	0.008146976	0.04281644	0.001015057
u	0.003377643	0.37456354	0.069746025	0.5414466	0.009874158	0.0009516401	4.0270406e-05
k	0.00030512092	0.0903503	0.059204344	0.25549045	0.55259037	0.041594822	0.00046462507
o	0.32379422	0.25994742	0.28648534	0.001182844	0.04806879	0.027891045	0.052630354
r	0.5238488	0.2806997	0.03602439	0.092294455	0.0411153	0.025055405	0.00096198387
a	0.0019912461	0.0123801995	0.0078103323	0.0017350822	0.0016225262	0.8090666	0.16539401
s	0.14425123	0.4021089	0.056016296	0.06295755	0.3056969	0.024391487	0.00457761
ì	0.008985795	0.004918103	0.0028168305	0.0022372075	0.010106567	0.6634607	0.30747485
u	0.0032817721	0.0120121315	0.00072737044	0.018362302	0.125393	0.83026505	0.009958269
t	0.0056109694	0.054362122	0.038901687	0.043486502	0.7602121	0.09415129	0.0032753488
è	0.0035201595	0.020589972	0.0064418386	0.0011731163	0.00060688506	0.8742501	0.093417965
l	0.027255382	0.0460483	0.0058436496	0.039888535	0.078417055	0.7916749	0.010872203
i	0.8658586	0.056177266	0.01892812	8.059893e-06	0.025220197	0.006077545	0.027730314
à	0.043814264	0.068891004	0.018762527	0.041298036	0.11754336	0.6553698	0.054320976
s	1.8078932e-06	7.182382e-06	8.098911e-05	0.0008681398	0.046785064	0.94669634	0.0055604703
p	0.003097318	0.03374888	0.0054753013	0.0010878345	0.02993961	0.281297	0.6453541
r	0.44519678	0.11459367	0.059	0.0022723586	0.057768967	0.06171235	0.25945586
o	0.7416391	0.14491585	0.0074533815	0.00024933947	0.010105668	0.03683762	0.05879909
</S>	0.002229918	0.0019596778	0.0011921842	0.002803532	0.012835499	0.7305835	0.24839576
