 	non	mi	aspetti	che	non	vengo	</S>
m	0.9678289	0.003072032	6.952844e-05	9.143848e-05	0.008276353	0.008630106	0.012031508
ì	0.0012136047	7.704554e-05	0.000111981986	0.96837693	0.02973376	0.0004713388	1.5354462e-05
m	0.059374016	0.48893306	0.37968868	0.056208774	0.015640955	4.0952833e-05	0.000113535796
e	0.015001948	5.5956614e-05	4.4602297e-05	0.17051353	0.3043255	0.506494	0.0035644325
m	0.046705898	0.3013451	0.32151416	0.27256045	0.056874637	0.0003274684	0.0006722956
ì	0.016577395	2.7014394e-05	2.5825173e-05	0.2930638	0.25499633	0.42942885	0.0058807936
n	0.060984798	0.0072307643	0.00034636506	0.60666597	0.3233366	0.0010077665	0.0004277154
e	0.2376444	0.0001284811	4.259232e-05	0.25013235	0.46463466	0.046028025	0.0013895379
k	0.039659448	0.0038064374	0.00017586254	0.71265286	0.24161638	0.0015730315	0.0005160251
a	0.032251913	6.9074646e-05	0.00010811694	0.23423299	0.15144499	0.5806842	0.0012087714
e	0.08344839	0.020515198	0.0020795413	0.46338493	0.37661272	0.03334867	0.020610504
n	0.003146373	0.0049426937	0.00021309748	0.05950391	0.059302233	0.6125075	0.2603842
è	0.0008465349	0.001509647	0.0003503787	0.00096491113	0.0050533433	0.2051873	0.7860879
r	0.028792175	0.24418052	0.33891925	0.016194914	0.033443876	0.06904717	0.26942208
k	0.022094976	2.0444715e-05	4.4955214e-06	0.004215368	0.022125604	0.88802725	0.063511916
u	0.21876681	0.00024492602	1.32616215e-05	0.18248537	0.14626779	0.37930873	0.07291313
m	0.28601915	0.073565714	0.050255235	0.05316489	0.06522604	0.090337954	0.38143104
e	0.012630766	0.00030693988	0.0012420496	0.03466427	0.01057845	0.93893206	0.0016455214
</S>	0.052664388	0.014305763	0.0039807507	0.033056237	0.029359566	0.028659109	0.83797425
