 	non	ci	dimentichiamo	mai	</S>
e	0.94088954	0.0027086195	2.1364627e-05	0.0046443497	0.051736243
n	0.0003012872	0.74133503	0.17849016	0.06990092	0.0099725425
è	8.205072e-05	0.06419632	0.8925093	0.008776713	0.034435708
n	0.0015338425	0.8352646	0.1587325	0.0017616729	0.0027073764
a	3.845688e-05	0.9136337	0.01497137	0.061700895	0.009655597
a	0.004886746	0.9699756	0.02400922	0.0003119144	0.0008165018
l	0.00084238226	0.49962127	0.21384916	0.2797489	0.0059383684
l	0.018995248	0.008511792	0.00013395252	0.966335	0.0060240934
i	0.022542676	0.35686952	0.5814903	0.0352777	0.0038197539
m	0.075031444	0.2352295	0.6871179	0.0008939926	0.0017272049
o	0.0035584513	0.0026443459	5.35299e-05	0.9931606	0.0005831292
n	0.09491754	0.7808389	0.115811795	0.0012300971	0.0072016236
i	0.0011595731	0.0057728835	0.0011308698	0.9629363	0.029000364
s	0.10207957	0.22500435	0.6438293	0.0045008957	0.02458593
t	0.003168566	0.0041875336	0.021298353	0.7040287	0.2673168
ù	0.018056514	0.06148038	0.12892298	0.5353023	0.2562379
m	0.0033088017	0.015282871	0.9779825	0.00094301923	0.002482806
e	0.17286836	0.01795744	0.0025084189	0.75639635	0.05026948
s	0.034101617	0.053748418	0.8672802	0.0055073397	0.039362393
t	0.009334191	0.006243501	0.009899415	0.8237933	0.15072963
a	0.05067778	0.05594581	0.02204377	0.6013491	0.26998356
m	0.0073193624	0.005875098	0.67644733	0.02930217	0.281056
à	0.013755928	0.008826947	0.00036119754	0.96741027	0.009645553
i	0.0045092814	0.03766866	0.7243407	0.042998083	0.19048332
</S>	0.00023965891	0.018363979	0.0171536	0.5488001	0.41544273
