 	io	non	ho	scritto	mai	una	lettera	al	mio	fratello	</S>
e	0.82101744	0.04347291	0.042357296	0.0006865322	0.014612863	0.011000528	0.035185345	0.012487071	0.0030434337	0.0027235488	0.01341306
v	0.00036941838	0.0011042479	0.0007852822	0.0016945772	0.98757046	0.0035200398	3.229229e-05	0.0011537545	0.00032754822	0.003347723	9.459921e-05
ò	0.08774787	0.06379574	0.022706872	0.16088748	0.07623265	0.26759732	0.059944756	0.13960408	0.054316875	0.005655293	0.061511118
e	0.02472313	0.34745508	0.21025094	0.40400723	0.0034472581	0.009595862	2.9330966e-05	0.00032258048	1.0334927e-05	5.0950253e-05	0.000107266
n	0.01462628	0.0184331	0.04078631	0.016837217	0.870914	0.01599116	0.017007396	0.0010877692	0.0018472967	0.0023368392	0.00013257403
ì	0.0081700655	0.029269418	0.03537979	0.06288343	0.08005432	0.026799114	0.33796567	0.0033262444	0.0066069667	0.027975779	0.3815692
m	0.015241607	0.46873483	0.24449447	0.23631723	0.006426004	0.027444731	0.00015939878	0.0010002636	3.0210706e-05	3.9577648e-05	0.000111708054
e	0.34347227	0.17304745	0.100544676	0.020840913	0.10755662	0.059167992	0.0088409595	0.052980743	0.005708822	0.11760358	0.010236073
g	0.043650094	0.2124925	0.46029356	0.19305804	0.06491443	0.022334816	0.0011559292	0.0005055926	0.0012352968	0.00010863134	0.00025119694
r	0.109436184	0.057996232	0.020289045	0.010228286	0.06335704	0.021063117	0.022254772	0.094516665	0.013720712	0.40311497	0.184023
a	0.017558636	0.033245202	0.008970133	0.2295088	0.012829369	0.23124611	0.12875019	0.049232837	0.030631946	0.0035420335	0.25448477
m	0.01374175	0.21387663	0.28001505	0.3582009	0.036601216	0.08766065	0.004131664	0.00083413004	0.0026113754	0.00055091165	0.0017757292
m	0.09997786	0.069214694	0.028277112	0.0092518935	0.018827956	0.015116533	0.0020182715	0.133279	0.009031939	0.5082298	0.106774986
è	0.044384714	0.050328143	0.0076669655	0.11155154	0.0036148315	0.15690452	0.02602132	0.21906869	0.12961257	0.012178894	0.23866788
n	0.0019631563	0.03461199	0.04229977	0.6221329	0.0037105186	0.17233807	0.0008511998	0.10663678	0.015415627	1.559003e-05	2.441545e-05
a	0.22326557	0.0881109	0.028808193	0.02414682	0.02422686	0.03663411	0.024949033	0.18080407	0.06156389	0.13949968	0.16799085
m	0.009836656	0.0661293	0.13456108	0.17690715	0.10748068	0.30803555	0.16765116	0.007858154	0.011462714	0.0036127758	0.0064647277
a	0.1331556	0.059587564	0.040794503	0.010422723	0.04461042	0.02456696	0.0026706457	0.22069772	0.010482847	0.42470807	0.028302943
i	0.010100496	0.03657144	0.099892266	0.15514585	0.16214053	0.24055608	0.23873971	0.016926574	0.020185152	0.009647037	0.010094815
a	0.0031716665	0.027787497	0.086580954	0.23903488	0.1550557	0.26818576	0.06956799	0.063860156	0.041065596	0.0355576	0.010132099
n	0.003728062	0.0371106	0.112087555	0.104288004	0.18179227	0.26795828	0.15800202	0.055070758	0.040262587	0.028435387	0.011264457
g	0.01747898	0.013238911	0.013171535	0.007668052	0.008165393	0.0036777083	0.044640522	0.0077533694	0.029156454	0.19643049	0.6586186
r	0.033347834	0.017612904	0.004963539	0.020260133	0.0012122218	0.052440327	0.008440479	0.26497796	0.26122996	0.021081476	0.3144332
à	0.0036642612	0.003586729	0.00059966213	0.0025898104	5.530896e-05	0.0039434177	0.0003504028	0.07399626	0.16383451	0.048771303	0.69860834
m	0.00082884275	0.0023898266	0.0040982375	0.0567053	0.0021004428	0.044893533	0.05152275	0.15051936	0.645388	0.010395139	0.03115856
m	0.09459416	0.108805485	0.14701913	0.026370898	0.0038279863	0.013902505	0.0051869266	0.05908877	0.021372287	0.37714455	0.1426873
a	0.038737614	0.006628201	0.0026429028	0.004342008	0.003233306	0.028399821	0.011585618	0.71594095	0.1394336	0.017180419	0.03187556
t	0.00259541	0.012520761	0.020434825	0.10829555	0.004789029	0.11500675	0.21786413	0.2066504	0.13919501	0.01702627	0.15562193
a	0.022852946	0.08524715	0.039971553	0.029226562	0.00017522642	0.0089536635	7.1706877e-06	0.04679414	0.0068492065	0.5304165	0.22950591
d	0.0017882317	0.0077484064	0.022093838	0.012931795	0.0030865036	0.03183786	0.7063912	0.026844677	0.060468137	0.013520718	0.11328869
e	0.04450208	0.01627886	0.016310873	0.0029477163	0.008029515	0.0045588575	0.0013575857	0.036300052	0.010353465	0.71923	0.14013094
r	0.0029776457	0.002643402	0.009469	0.010219579	0.012190813	0.015048347	0.85592216	0.014755668	0.021251384	0.008558148	0.04696386
f	0.011612742	0.0057502873	0.0061968835	0.0016052183	0.001220809	0.0012009037	0.00037291704	0.0053548147	0.0060108695	0.6271701	0.33350456
ù	0.01949054	0.004995846	0.0024495623	0.0057302522	0.00074703543	0.010939178	0.0035397082	0.10011051	0.17229919	0.08879824	0.59089994
m	0.00032786222	0.0008012339	0.0013500007	0.010592252	0.0004912046	0.0061047277	0.030876199	0.057370797	0.44645855	0.16082996	0.2847972
m	0.10230505	0.06702825	0.0915757	0.013322145	0.0032655105	0.007813304	0.01271653	0.055008043	0.03365465	0.44619516	0.1671157
u	0.094506435	0.003987627	0.0023924988	0.0012505527	0.0069538257	0.0065315645	0.0427059	0.6437362	0.10560534	0.069739394	0.022590661
</S>	0.00070608506	0.003868385	0.006225441	0.033155315	0.0007927435	0.013191054	0.023469096	0.08683822	0.1565596	0.111936234	0.56325775
