 	ho	cosa	a	fare	</S>
è	0.49054614	0.029519137	0.046791725	0.00046161495	0.43268135
c	0.24166697	0.5693439	0.18730511	0.00064583414	0.0010381356
h	0.008426362	0.57379943	0.33633184	0.07829927	0.0031431569
o	0.23729561	0.603398	0.1449689	0.014212638	0.00012482837
t	0.31717938	0.22966026	0.4378374	0.012539263	0.0027837458
i	0.055193443	0.1351493	0.17670377	0.034390528	0.5985629
k	0.03373583	0.19074155	0.72112226	0.03725222	0.01714815
à	0.0043373415	0.03482147	0.02505984	0.0008149258	0.93496644
i	0.00055294676	0.00054103666	0.00874677	0.98789227	0.002267007
</S>	0.0028562546	0.0036369436	0.04343039	0.003981569	0.9460949
