 	viene	fabbricato	</S>
è	0.94534886	0.032131117	0.022520022
r	0.99697804	0.0019516334	0.0010702986
k	0.34666574	0.45023102	0.20310327
e	0.9996227	0.00032211826	5.5157358e-05
t	0.05926708	0.87141114	0.069321804
e	0.8190846	0.12247146	0.058444053
f	0.524866	0.37617183	0.09896215
a	0.9735921	0.019986616	0.0064211474
b	0.1438121	0.570305	0.2858829
b	0.43486547	0.48660883	0.078525715
r	0.7718775	0.19880022	0.02932235
i	0.88670033	0.11202415	0.0012755315
k	0.8863299	0.037976664	0.07569336
à	0.11077405	0.749077	0.14014891
t	0.010641539	0.90046835	0.08889011
o	0.6531487	0.30166778	0.045183517
</S>	0.014858819	0.11607966	0.8690615
