 	che	consuma	poco	benzina	</S>
n	0.0696529	0.000356361	0.48261237	0.14609577	0.30128255
a	0.008244583	0.99173623	2.2729182e-08	1.0191628e-06	1.8060098e-05
k	0.5020466	0.47383866	0.0037387186	0.00027981406	0.020096252
o	0.012692068	0.97979945	0.0071805688	0.00020552259	0.00012228212
n	0.33244252	0.62162656	0.0025845994	0.00015741908	0.043188956
s	0.0032906127	0.97681636	0.004522035	0.00011536467	0.015255589
u	0.005338712	0.99424654	0.00010124397	6.9317366e-07	0.00031274388
m	0.48744583	0.50342864	0.0021307229	0.0006552129	0.0063395584
è	0.030803643	0.96074057	0.0014579624	0.006626363	0.00037158883
t	0.04774466	0.9497931	0.0023995254	1.3239606e-06	6.1302424e-05
s	0.07189288	0.8874395	0.025716139	0.011502076	0.0034495469
i	0.016830549	0.97848505	0.0044979006	2.5771715e-05	0.0001607473
a	0.3362738	0.5954187	0.043885883	0.0049707573	0.01945091
l	0.04574185	0.09794777	0.14434661	0.43926814	0.27269566
ì	0.053706266	0.11796436	0.010002343	0.79417163	0.024155341
o	0.043981455	0.15292333	0.29609996	0.22154066	0.28545466
b	0.005820819	0.008079315	0.07809374	0.51778793	0.39021817
e	0.0066681434	0.9739967	0.018322527	0.0010124911	1.6694054e-07
n	0.0002905592	0.0053157546	0.9363311	0.009300467	0.04876215
z	0.0039045578	0.0073897257	0.001601859	0.92324114	0.06386264
ì	0.06996094	0.09935421	0.15014248	0.62629956	0.05424282
n	0.0018474149	0.0047523994	0.027868077	0.718611	0.24692115
a	0.037676517	0.8193477	0.0006864833	0.13350366	0.008785628
</S>	0.03399685	0.12075838	0.031799898	0.023400594	0.7900443
