 	sicuramente	stanno	ancora	svegli	</S>
s	0.06340078	0.013164518	0.0456174	0.09741894	0.78039837
i	0.9749761	0.011654367	0.008972907	0.0026788355	0.0017178523
k	0.84239286	0.15603699	0.0009970493	5.5710418e-05	0.0005173637
u	0.05939473	0.00093626545	0.9087276	0.026694281	0.0042470936
r	0.6043242	0.37315813	0.012726724	0.008209683	0.0015812357
a	0.0036760978	0.004221097	0.9454809	0.020096287	0.026525632
m	0.6343837	0.35230398	0.01045294	0.0013665942	0.0014928497
è	0.013915972	0.000121179306	0.93998367	0.028326022	0.017653199
n	0.042219985	0.94573295	0.009022315	0.002441189	0.0005835113
t	0.09707685	0.03109982	0.83153063	0.020493355	0.019799352
e	0.5876425	0.20803188	0.1965706	0.00031655026	0.0074385526
s	0.09831492	0.8848474	0.0161647	0.00040546298	0.0002675192
t	0.011612777	0.02689134	0.9074067	0.013684767	0.040404443
è	0.33216992	0.12398406	0.5104505	0.0029445451	0.030450974
o	0.007537251	0.9876837	0.003920956	0.00032349708	0.0005345035
n	0.00060827116	0.0053000473	0.64792913	0.3371808	0.008981777
e	0.10198346	0.017345708	0.3620919	0.009906478	0.5086725
a	0.011126888	0.87727326	0.081765085	0.00170813	0.028126711
n	3.1781416e-05	0.005457738	0.2178934	0.74114215	0.035474893
k	0.00035826856	0.00055470306	0.013264514	0.053019863	0.9328026
ò	0.28559938	0.092324406	0.06953076	0.006777104	0.5457683
r	0.0043706507	0.5374844	0.13515154	0.2750435	0.047949955
a	0.07427704	0.004954332	0.41301775	0.19570924	0.3120416
a	0.009228865	0.77888685	0.14458777	0.0011798129	0.06611666
t	2.3621321e-06	0.00059012405	0.060638577	0.87853175	0.060237132
s	0.000798079	0.0027648597	0.013684464	0.03840753	0.9443451
ù	0.005870337	0.03934216	0.09115685	0.01220738	0.8514233
n	9.1265365e-06	0.004216667	0.03127099	0.9506426	0.013860652
n	0.011090759	0.0024614877	0.07788413	0.29044574	0.61811787
i	0.91102993	0.0044311685	0.01602629	0.0060996506	0.06241299
t	7.542648e-05	0.0024381343	0.11680984	0.7844161	0.09626056
i	0.8318264	0.007335901	0.01902899	0.005127173	0.13668162
</S>	0.00047709676	0.06742007	0.036589857	0.026117155	0.8693958
