 	il	dito	si	gonfiò	</S>
o	0.85107905	0.07871273	0.0267029	0.009547253	0.033958156
d	0.14724284	0.07572548	0.1969461	0.578859	0.0012265603
à	0.19343595	0.053801633	0.6394317	0.083405964	0.029924778
t	0.03906366	0.73844075	0.13123298	0.047562536	0.04370006
t	0.0061877007	0.004232504	0.07169659	0.9103445	0.007538651
i	0.7190387	0.024469988	0.23984444	0.008866034	0.0077807703
l	0.53483295	0.13031022	0.3098041	0.014709736	0.010343055
o	0.0062634624	0.031194674	0.71769464	0.21052758	0.034319583
è	0.13365258	0.120742574	0.70633	0.023513457	0.015761321
p	8.718236e-05	0.13828705	0.105191454	0.7121239	0.044310383
r	0.0008532579	0.0028352574	0.15572056	0.7625733	0.078017674
i	0.45191616	0.06909851	0.36641428	0.06015395	0.05241707
m	0.019346673	0.065571435	0.4967521	0.26444322	0.15388662
m	0.044503476	0.26856634	0.42248505	0.23605044	0.028394684
è	0.40396085	0.11226475	0.26492158	0.20107807	0.017774718
n	0.012010168	0.26577657	0.19856857	0.4276126	0.09603211
o	0.15622075	0.47808084	0.14220877	0.20508532	0.018404337
</S>	0.0068424325	0.035050325	0.12748764	0.120947905	0.70967174
