 	la	donna	è	capace	pulire	deve	pulire	la	casa	ogni	giorno	</S>
e	0.81685984	0.027960045	0.040235363	0.0039538806	0.0050177067	0.0024207786	0.008408273	0.004936543	0.01263033	0.06773288	0.008236073	0.0016081694
j	0.0036984584	3.5566063e-05	0.0019485771	1.8496039e-05	7.3444746e-05	0.00015965846	0.0003267335	0.0005799846	0.00020078095	0.03700728	0.08495073	0.8710003
i	0.82564074	0.017230725	0.007161165	0.039742846	0.0057641235	0.004065874	0.0033156606	0.00689055	0.0030787142	0.021112543	0.010678157	0.05531887
n	0.9174811	0.00010891824	0.018416742	0.00015802476	0.00040460879	0.00019939602	0.00031105365	0.00014114492	0.0002673142	0.014233947	0.0056963786	0.042581428
è	0.80712986	0.013996384	0.0059730825	0.0146341305	0.002706216	0.0027553535	0.0011623439	0.0018234688	0.0010390917	0.002522098	0.0033022948	0.14295569
k	0.0021698407	3.4324512e-06	0.009782744	0.00034144917	0.0023920888	0.0050976337	0.0048553413	0.007844131	0.0017302993	0.025095966	0.011156683	0.9295303
a	0.74633694	0.00024904884	0.08825849	0.00040333896	0.0070460215	0.022990944	0.010966462	0.010564815	0.00027072942	0.030808046	0.0020873197	0.08001778
è	0.19866909	6.872407e-05	0.3037781	0.017898712	0.045620285	0.048170768	0.034059238	0.025683459	0.017312584	0.08207783	0.031481326	0.19517983
n	0.00022355637	1.4650821e-05	0.038171764	0.0043227305	0.027478794	0.014869863	0.052776016	0.04595421	0.047359824	0.4830852	0.044657648	0.24108577
e	0.27467364	0.002301915	0.38841894	0.0005056554	0.011797286	0.11094533	0.03449815	0.06421712	0.00055839296	0.016522653	0.0006578043	0.09490313
k	0.12619923	0.00024549643	0.4970426	0.0017786984	0.020123364	0.15087536	0.05716723	0.09403596	0.009417084	0.0056134835	0.00029749295	0.03720404
a	0.16862357	0.0009494489	0.0056457813	0.017445888	0.0044980035	0.0026207215	0.002753802	0.0035372504	0.001989178	0.2890431	0.3309533	0.17193994
p	0.013052511	0.00022038782	0.087320834	0.12576407	0.07982516	0.092492856	0.039718077	0.052386604	0.026738144	0.10164686	0.19884187	0.18199259
à	0.015332622	0.0002571343	0.0012506814	0.007974611	0.0017941266	0.0010626519	0.0010027235	0.0014186754	0.0010533516	0.19909625	0.41003963	0.35971755
c	1.4408493e-05	7.67196e-05	0.0013845009	0.01036608	0.009203092	0.0038807206	0.010378866	0.019660411	0.04042859	0.32895178	0.18457283	0.391082
e	0.11689455	9.896957e-06	0.012532342	0.0023710702	0.012412068	0.002514192	0.0032940812	0.0021181107	0.00046516123	0.7579542	0.072607145	0.01682723
n	0.82587814	0.015465616	0.035655536	0.04403012	0.02698745	0.013553858	0.011202764	0.007981238	0.00866625	0.005860496	0.002393902	0.0023246082
a	0.28756115	0.00047730285	0.0031183863	0.0034049607	0.002407171	0.0015250177	0.003391083	0.0061818846	0.0060337004	0.30588734	0.23921768	0.14079435
p	0.013624102	0.007230943	0.16098075	0.057323217	0.15635306	0.21590738	0.11863813	0.14676437	0.038097434	0.022987649	0.0029500443	0.059142966
u	0.0020009412	8.9346495e-06	0.00073802203	0.0020507134	0.0013960138	0.0006846913	0.00060776336	0.0005837366	0.00021716139	0.2387599	0.5881593	0.1647928
l	8.818351e-05	0.00040276884	0.011785975	0.08085502	0.057101272	0.049139734	0.035201527	0.06776651	0.04263784	0.29402316	0.29149225	0.069505766
i	0.0011777647	1.4204022e-05	0.00025630175	0.0017139834	0.0004959592	0.0003201075	0.00028956105	0.00043978513	0.0003232982	0.12153609	0.4766801	0.3967528
z	5.1697298e-05	0.0001613495	0.008761175	0.024762599	0.02995225	0.022059944	0.0206124	0.03370232	0.020302784	0.45974305	0.3139358	0.06595467
z	0.001312219	2.4374342e-05	0.00015485467	0.0012598413	0.00022857716	0.00013535653	0.00013023158	0.00020252794	0.00027828093	0.07226323	0.39211655	0.5318939
è	0.0041582063	5.362714e-05	9.754606e-05	0.0040469123	0.00044606318	0.0005241287	0.00032016702	0.0014579098	0.0010423098	0.007994423	0.031728063	0.94813067
s	5.9562615e-05	0.00025416023	0.0003020606	0.006074805	0.0032689192	0.0029837426	0.00336369	0.008376985	0.016547935	0.14765161	0.5253977	0.28571877
