 	hai	già	mangiato	</S>
è	0.71530014	0.01776569	0.054288767	0.21264544
c	0.8733423	0.1217889	0.003784738	0.0010840896
h	0.0008915001	0.005201882	0.99363166	0.0002749133
i	0.19452854	0.8046802	0.00074899866	4.220883e-05
g	0.23272498	0.72792417	0.03778739	0.0015635155
i	0.24684958	0.01988073	0.7245314	0.008738216
à	0.07129808	0.87625533	0.045554288	0.006892337
f	0.007741798	0.038270425	0.7285086	0.22547922
a	0.011390528	0.0113752475	0.9475664	0.02966777
m	0.0206224	0.5208723	0.34403384	0.11447153
è	0.012360465	0.0044571063	0.9613653	0.021817232
n	0.010371246	0.0063580316	0.77406436	0.20920636
a	0.14297768	0.0036670757	0.82460284	0.028752342
</S>	0.0004231628	0.0070085954	0.53867584	0.45389244
