 	non	ho	cosa	è	da	mangiare	</S>
e	0.7788267	0.0110683665	0.054505587	0.0096070925	0.03251868	0.0007457359	0.112727895
n	0.0039126803	0.062450536	0.8726147	0.025648793	0.034831796	0.00051426335	2.7146605e-05
è	0.0025834565	0.18897665	0.0031294797	0.03596812	0.046869665	0.6982864	0.02418616
c	0.015338362	0.89178634	0.04044955	0.02762508	0.024359861	0.00037689606	6.375941e-05
h	0.0052920296	0.03369118	0.07870943	0.042453587	0.09402482	0.7440598	0.0017692175
o	0.1402591	0.53830737	0.019776825	0.2836522	0.016778685	0.0011627155	6.3185995e-05
t	0.080863096	0.37302852	0.050006997	0.3877838	0.09690158	0.010677059	0.0007389892
i	0.0061218846	0.023075093	0.0026684802	0.004955373	0.023326386	0.9143495	0.025503257
è	0.010595747	0.12936454	0.09562884	0.33116877	0.42818388	0.004531058	0.0005272222
n	0.0028296004	0.034981593	0.0027215374	0.07841325	0.19627061	0.65532374	0.029459603
a	0.001295127	0.03567162	0.004590687	0.01582576	0.047362257	0.86512995	0.030124625
f	0.019401435	0.03731965	0.053289086	0.13479331	0.7309952	0.01489626	0.009305054
à	0.024472408	0.007518342	0.008066038	0.004500759	0.047250118	0.35606584	0.55212647
o	0.0016946363	0.006544808	0.003700773	0.02122454	0.12172593	0.77850413	0.06660522
</S>	0.014836602	0.009399794	0.010647382	0.023174765	0.45090473	0.2625851	0.22845161
