 	non	ho	dove	d	andare	</S>
e	0.9255721	0.0291873	0.0142299635	0.006591981	0.00025867193	0.024160067
n	0.0021974784	0.020268228	0.0063645933	0.96245074	0.0054313494	0.0032875184
è	0.0034079284	0.27154303	0.19525318	0.10594958	0.30213243	0.121713854
c	0.024925169	0.89626527	0.03765852	0.036880683	0.00042230755	0.0038481937
h	0.0010195294	0.0067820516	0.0018163953	0.5854339	0.40339684	0.0015512453
o	0.18529539	0.39827353	0.31259716	0.1031275	0.00068951567	1.7041672e-05
p	0.09215371	0.3572705	0.4429328	0.10109587	0.006047442	0.00049960293
u	0.009359291	0.0053184684	0.0032190427	0.77829474	0.17781922	0.025989287
è	0.06494303	0.1706441	0.7279176	0.033502016	0.0024992072	0.0004940056
n	0.0002521352	0.00036358717	0.060146734	0.0035381007	0.924484	0.011215429
a	0.006299891	0.08011472	0.15636122	0.124877475	0.51500344	0.117343254
p	0.090972625	0.20692699	0.5262968	0.15835758	0.009423216	0.008022814
à	0.010145495	0.006857612	0.0043639485	0.1365362	0.46864727	0.37344953
o	0.0010902978	0.0023815203	0.096243784	0.013429982	0.86497074	0.021883653
</S>	0.0056897877	0.0024361066	0.018389907	0.12928426	0.47006854	0.37413138
