 	vuole	andare	a	Lecce	</S>
i	0.83915997	0.00045575734	0.007260682	0.012336405	0.14078718
t	0.0024676681	0.748727	0.15640269	0.091565154	0.00083749945
è	0.0038005915	0.21606393	0.7609571	0.00023558663	0.018942695
l	0.35288402	0.62960714	0.014270896	0.0023121056	0.00092589064
i	0.3596053	0.40163746	0.18188776	0.05575235	0.0011171474
n	0.71803504	0.2696644	0.011398975	7.648043e-05	0.000825042
a	0.000913828	0.3512771	0.63452387	0.00058063236	0.012704627
p	0.45521036	0.46944624	0.07464623	6.566441e-05	0.00063153
à	0.012795821	0.04831195	0.84823114	0.08346601	0.0071951165
i	0.019671436	0.770669	0.08778046	0.08904032	0.032838784
L	0.0017303725	0.009241808	0.020957828	0.9447384	0.023331635
u	8.2224105e-05	0.9079888	0.089938186	0.0019596468	3.1021955e-05
p	0.024367234	0.35896954	0.57619077	0.008463759	0.032008674
p	0.00078259624	0.0040516006	0.046339758	0.913494	0.03533202
ì	0.049752295	0.10938931	0.06884231	0.7490464	0.022969736
u	0.051344365	0.34106827	0.20836085	0.03960755	0.35961893
n	0.00015378237	0.00094323896	0.009128791	0.9242774	0.06549679
a	0.007375021	0.26625714	0.1324678	0.2532303	0.34066975
</S>	0.0039509004	0.047494706	0.14636195	0.03498987	0.76720256
