 	vuole	pianto	</S>
i	0.8205939	0.007051323	0.17235476
t	0.97781426	0.019617245	0.002568503
è	0.0005097064	0.9180838	0.08140651
l	0.95580244	0.03818103	0.0060165343
i	0.77877694	0.030919911	0.19030316
k	0.6712739	0.32326564	0.0054604583
l	0.6350533	0.007758931	0.35718784
a	0.076816745	0.9122436	0.010939727
m	0.020472243	0.940369	0.03915864
m	0.035666745	0.21596928	0.748364
è	0.159529	0.79676086	0.043710217
n	0.13335577	0.7195634	0.14708078
o	0.9792692	0.0061044395	0.014626343
</S>	0.0069988878	0.8593408	0.13366029
