 	i	genitori	non	li	dimentichiamo	mai	</S>
u	0.30949304	0.14134431	0.26492798	0.11704821	0.00076577027	0.029742457	0.13667823
g	0.0032792096	0.33223477	0.05765028	0.07044778	0.24475808	0.26860556	0.023024358
e	0.34465826	0.00989354	0.19131759	0.09893205	0.24305393	0.086842164	0.02530247
n	0.5973674	0.020410966	0.3200925	0.01543597	0.044378035	0.0002882921	0.0020267824
i	0.07998848	0.01309271	0.08702471	0.022516761	0.30190468	0.17300995	0.32246274
t	0.49431258	0.022629833	0.4168335	0.011329817	0.05413627	6.757031e-05	0.0006904964
ò	0.007247583	0.0037612051	0.012839553	0.0066549308	0.56503105	0.11661287	0.28785282
r	0.4505479	0.0018389137	0.08795246	0.13803439	0.3212317	3.852307e-05	0.00035595804
u	0.1387555	0.39267462	0.3357459	0.08459907	0.0069689113	0.026166737	0.015089291
e	0.3247347	0.14303398	0.49650988	0.016878912	0.018694596	4.2506013e-05	0.00010550763
n	0.0137603115	0.07453937	0.17166862	0.41817784	0.3136944	0.007348701	0.00081078947
è	0.000106636304	0.00048319643	0.0031626604	0.0061770035	0.6468844	0.073024146	0.27016193
n	0.037756644	0.004683051	0.1194465	0.30522975	0.52780485	0.00079530204	0.004283945
u	0.16472071	0.24746166	0.16316584	0.21619372	0.012595216	0.14897904	0.046883855
s	0.080165975	0.1532789	0.536071	0.11276056	0.11549395	0.00057733944	0.0016522481
s	0.012712764	0.010906882	0.016067069	0.030434914	0.2605011	0.44939348	0.2199838
c	0.0105126025	0.124871865	0.21646821	0.14582302	0.34629482	0.07124075	0.08478877
e	0.31380832	0.18412748	0.2051696	0.20671727	0.006306787	0.058813337	0.02505721
r	0.04606627	0.03871487	0.050609633	0.049992736	0.8088781	0.0007835725	0.0049548014
r	0.047631316	0.001486611	0.0025859738	0.0027364534	0.0008838794	0.87788343	0.066792406
è	0.08003829	0.0030588887	0.018498551	0.026267366	0.49412006	0.2667747	0.11124208
t	0.0010444873	0.000865851	0.0009588704	0.0081272535	0.98076737	0.0035171094	0.004719161
s	0.14786376	0.008715363	0.016863864	0.09901286	0.0017860531	0.6962968	0.029461293
u	0.13722993	0.0017174497	0.005881825	0.011281344	0.7500912	0.035776522	0.058021676
m	0.0014699514	0.00064921216	0.0015733051	0.015743025	0.8152157	0.031154057	0.1341947
e	0.27671757	0.0035550997	0.0037584356	0.012215942	0.0013331631	0.6942588	0.008160887
m	0.009357796	0.00241739	0.006984505	0.014346329	0.9296213	0.0015501846	0.035722606
à	0.01316014	0.00082856143	0.0008346232	0.007405859	9.7426884e-05	0.97430056	0.0033728387
i	0.0015773312	0.0024745106	0.0043329666	0.034859654	0.89465505	0.023312045	0.03878836
</S>	0.00030127072	6.852012e-05	0.0007021568	0.17439306	0.02516485	0.5728108	0.22655937
