 	non	li	aspettiamo	più	</S>
e	0.7748663	0.007127158	0.00020937556	0.09701868	0.120778434
t	0.007086144	0.49026066	0.057573143	0.44189617	0.0031838983
u	0.001592731	0.021493608	0.91936004	0.005358012	0.05219553
s	0.03904713	0.38934812	0.57027847	0.0004894352	0.0008368831
m	9.888793e-05	0.012835662	0.77972007	0.017519107	0.18982628
è	0.030264275	0.046606243	0.90760666	0.0130190905	0.0025037283
n	0.047331996	0.117919326	0.8326937	0.0017857944	0.000269198
u	0.03793878	0.8521819	0.0021771614	0.10671899	0.000983198
m	0.10774153	0.15660855	0.7212081	0.0017516918	0.012690163
e	0.2534666	0.42751828	0.0002781434	0.3175803	0.0011565736
p	0.13060671	0.37618732	0.15149264	0.07732449	0.26438883
l	0.0056585735	0.106192075	0.038762946	0.59111875	0.25826764
è	0.01474765	0.10932596	0.1571933	0.56295747	0.15577559
o	0.010157943	0.026699506	0.7300465	0.12954706	0.10354903
</S>	0.0006630034	0.0018053893	0.00018960072	0.95168644	0.045655493
