 	nella	pasta	vuole	sale	</S>
s	0.9895141	0.00053745485	0.0005200904	7.5352524e-05	0.009352998
t	0.015741225	0.17510295	0.79166955	0.016323078	0.0011631766
i	0.008151894	0.8537501	0.016752144	0.12034238	0.0010035195
p	0.39019933	0.5136049	0.09096855	0.004903542	0.0003236191
à	0.010922834	0.038203698	0.03594745	0.798993	0.115933046
s	0.10318487	0.79316485	0.10110494	0.001742317	0.00080299354
t	0.04700712	0.103378445	0.6247642	0.0906146	0.13423553
a	0.014346768	0.5312118	0.05171853	0.40170005	0.0010228478
t	0.1804246	0.18240862	0.5965161	0.038396433	0.002254298
è	6.322577e-05	0.009081411	0.0029553697	0.9307931	0.057106867
l	0.07891435	0.07577657	0.7775658	0.06634484	0.0013984675
i	0.5527762	0.056617342	0.1178665	0.105048805	0.16769111
à	0.116203226	0.073721364	0.6192445	0.16641663	0.024414208
l	2.6790807e-05	0.00370759	0.92696697	0.040583853	0.028714878
a	0.00058006344	0.0066568023	0.016251232	0.4370416	0.5394703
</S>	0.010949446	0.029204397	0.36044583	0.48594338	0.11345702
