 	dovevo	comprare	il	pane	ogni	giorno	</S>
ì	0.6265363	0.0017536863	0.008524753	0.28362173	0.04050752	0.0037174094	0.035338536
c	9.772832e-05	0.12594905	0.49240437	0.37928098	0.002199465	9.554892e-06	5.8789712e-05
h	0.008809498	0.3267557	0.6545234	0.009230338	0.0006702951	8.748718e-06	2.0767864e-06
a	0.032099776	0.16771005	0.6636244	0.13111368	0.004847123	0.00013431071	0.00047066182
n	0.016109275	0.7801479	0.16824915	0.03279265	0.0013601375	6.7893176e-05	0.0012729978
a	2.1644277e-05	0.45584857	0.4706124	0.07188654	2.2534214e-05	6.3671723e-07	0.0016075958
a	0.0001842778	0.68013626	0.30937475	0.010298256	2.1344392e-06	1.0186009e-08	4.2729903e-06
g	4.0028222e-05	0.6102866	0.31446484	0.07416478	0.00034591014	5.602427e-06	0.00069226086
o	0.007368743	0.1772336	0.7729678	0.027883144	0.0068893475	0.0019846817	0.005672611
r	0.15384121	0.17002243	0.20944092	0.25603926	0.090633795	0.10131848	0.018703947
à	0.006367721	0.005364942	0.016266517	0.08185351	0.020729873	0.06432263	0.8050948
s	0.004064322	0.0004208802	0.0011793227	0.026114138	0.8963122	0.06318869	0.008720425
o	0.14839578	0.068562135	0.110250086	0.6551557	0.0038601933	0.0040099006	0.009766187
o	0.7012232	0.12439231	0.040000603	0.0995464	0.013982741	0.003435412	0.017419387
s	0.0024748982	0.04715586	0.02267116	0.025578327	0.543822	0.08303473	0.27526304
s	0.0024738875	0.07045898	0.104449645	0.20879671	0.002356758	0.0016943981	0.60976964
o	0.19129023	0.041873593	0.16644898	0.50554806	0.004064593	0.013061927	0.077712625
m	0.027012412	0.0039162124	0.004069305	0.040281437	0.10290935	0.29512843	0.52668285
ì	0.02899007	0.33851907	0.578428	0.018623529	0.026297929	0.0040090764	0.0051323054
k	0.017039979	0.011813936	0.15160146	0.2356873	0.13762708	0.3268439	0.11938629
a	0.030777555	0.0033701507	0.035310708	0.16498362	0.24686879	0.45774773	0.06094151
m	0.013032586	0.0019471654	0.0057160226	0.041766386	0.05172945	0.4223551	0.46345332
è	0.10694686	0.08826201	0.47954535	0.19444326	0.096925616	0.028934862	0.0049421787
r	0.0053094593	0.0013119448	0.00531801	0.065477185	0.039284885	0.666655	0.21664348
i	0.061358005	0.0012086229	0.041542646	0.3990798	0.35301122	0.13342568	0.010373993
</S>	0.0009991665	0.00021811329	0.00041201533	0.0026087533	0.017690757	0.25764483	0.7204264
