 	non	sono	ancora	vestita	</S>
e	0.937441	0.0051260353	0.021081442	0.006982546	0.02936902
n	0.00087195146	0.13467135	0.29598606	0.56696695	0.001503719
ì	0.009848065	0.41333753	0.31365094	0.007186932	0.2559766
m	0.036960047	0.8241461	0.13247196	0.0033761782	0.0030455915
e	0.038511764	0.040303607	0.29899135	0.60266656	0.019526685
a	0.39992228	0.5973738	0.0026253543	1.0426935e-05	6.820452e-05
n	0.010036718	0.14820151	0.70986414	0.11385192	0.018045707
k	0.0016223222	0.07563049	0.0628932	0.028939823	0.8309142
ò	0.17143868	0.50339955	0.26867673	0.003758513	0.052726567
r	0.38703516	0.4792841	0.09332463	0.032085758	0.0082704425
a	0.1307295	0.046092264	0.4637697	0.1892191	0.1701894
e	0.042095687	0.92811173	0.016953733	0.00032168758	0.01251704
n	0.00017059046	0.009027846	0.14210397	0.7778164	0.07088109
d	9.199675e-05	0.00079322	0.0006147332	0.060226653	0.93827343
i	0.16929394	0.11524223	0.1395918	0.040328752	0.53554326
m	0.19891468	0.21827626	0.1745212	0.041662384	0.36662552
è	0.0054745646	0.0019863518	0.02407846	0.66847026	0.29999042
n	0.024420954	0.11473341	0.0752758	0.3878654	0.3977044
i	0.66582006	0.004702134	0.07012146	0.14129305	0.11806332
</S>	0.05707366	0.092682645	0.05436715	0.038196202	0.75768036
