 	sto	e	cucino	</S>
e	0.6685164	0.049017243	0.003453757	0.27901256
s	0.042133443	0.5171376	0.29988912	0.14083987
t	0.009985565	0.33405662	0.53663343	0.11932434
è	0.0017187269	0.0022168634	0.99519354	0.00087077916
c	0.7384716	0.25973967	0.0016415378	0.00014707087
e	0.00034090228	2.2709182e-06	0.99938476	0.00027203813
m	0.37767637	0.6104891	0.010846185	0.0009883355
a	0.02104511	0.0045405314	0.9590294	0.0153850205
r	0.11070095	0.77856624	0.0836585	0.027074289
è	0.00088460994	0.00016041247	0.977441	0.021513928
o	0.08131051	0.45383814	0.42947903	0.03537233
</S>	0.01870859	0.045373563	0.29972237	0.6361955
