 	io	non	so	cosa	è	da	scrivere	</S>
e	0.9060233	0.02010833	0.001084601	0.017352583	0.0069523314	0.034770757	7.355723e-05	0.013634454
v	0.0012580022	0.009001158	0.015585718	0.9633479	0.0035221823	0.0008374521	0.005482739	0.0009648985
ò	0.034960326	0.022183117	0.02843113	0.035665795	0.28812644	0.39139122	0.18043758	0.01880442
e	0.04496197	0.60505456	0.29202384	0.0046922476	0.037911423	0.00829635	0.0047959066	0.0022637188
n	0.0976957	0.095223576	0.053181414	0.5999722	0.03084442	0.014585229	0.10810205	0.00039547536
e	0.000114038616	0.008507995	0.059563935	0.0029133824	0.0130463075	0.36656788	0.4067286	0.14255787
s	0.004574149	0.29207554	0.35150978	0.2871189	0.04107677	0.023144288	0.00021946085	0.0002811118
s	0.00037801912	0.0030183068	0.011094543	0.0023243807	0.006492252	0.18112192	0.6574171	0.13815345
è	0.0044992063	0.03806289	0.10562403	0.04548581	0.106383994	0.4445547	0.24143894	0.013950484
r	0.009508175	0.29529035	0.4618541	0.0038629286	0.21893132	0.009797113	0.00045176013	0.0003042025
o	0.04415181	0.010391926	0.009245459	0.06937045	0.20500761	0.34872356	0.29445854	0.018650621
t	0.028120881	0.24517226	0.18828025	0.10467912	0.21214643	0.21935807	0.0017720797	0.0004708189
i	0.01297123	0.010620504	0.011296565	0.00530972	0.029031768	0.55271703	0.24497753	0.13307561
e	0.011192059	0.047167853	0.033019964	0.101094045	0.11741993	0.6887033	0.0007161186	0.0006867743
n	0.0003633536	0.012659624	0.018713325	0.011453647	0.090897866	0.7344469	0.11621712	0.015248186
a	0.00036370757	0.0022459545	0.0065865377	0.00022900892	0.0009604463	0.070492044	0.23378055	0.6853418
g	0.0032666002	0.017531931	0.0140291955	0.055305764	0.0782747	0.82729805	0.0009544489	0.0033392739
r	0.008574594	0.013585386	0.003659941	0.0060888156	0.015652781	0.143358	0.19382006	0.6152604
à	0.009328799	0.011260324	0.020747904	0.0015234424	0.024461476	0.1381945	0.06689286	0.7275907
s	0.0010605681	0.002105853	0.006238791	0.00073963334	0.013008891	0.018546095	0.94826186	0.0100382995
s	0.102275856	0.017216431	0.01908284	0.011252575	0.14059639	0.08447593	0.28102183	0.34407818
o	0.03148676	0.029443307	0.07076	0.003964069	0.24972881	0.081841275	0.14383996	0.3889359
</S>	0.0010576023	0.009503619	0.031557307	0.0011381063	0.031935975	0.17293766	0.2733797	0.47848994
