 	non	aveva	cosa	a	fare	</S>
e	0.7869356	0.00970728	0.02128389	0.02943727	0.00037642152	0.15225938
n	0.005549702	0.037749253	0.8768168	0.07977149	7.597572e-05	3.6824447e-05
ì	0.0032238443	0.12679493	0.00826047	0.08056241	0.76222134	0.018937062
c	0.017857436	0.85233855	0.089300975	0.039923433	0.0003224407	0.00025718077
h	0.0013469578	0.053544685	0.49894682	0.43314835	0.00474408	0.008269153
e	0.22724085	0.578065	0.114690855	0.07738478	0.0024579312	0.00016061509
t	0.07315167	0.44008526	0.08827432	0.380215	0.0150564695	0.0032171572
i	0.03743801	0.12603596	0.06501526	0.08450249	0.02930548	0.6577028
k	0.010126063	0.17300679	0.10408058	0.674548	0.029873095	0.008365475
à	0.0014401737	0.005587561	0.016548159	0.021306768	0.00030709073	0.95481026
m	0.0009462887	0.0027077894	0.0016671931	0.019379688	0.9720077	0.003291301
i	0.41500798	0.069341436	0.09285673	0.064365625	0.0003231581	0.35810503
</S>	0.009992962	0.012889486	0.0059468853	0.06957652	0.8604677	0.041126475
