 	sto	ancora	cucinando	</S>
s	0.7473465	0.07223652	0.02356252	0.15685453
t	0.0041021085	0.22284175	0.7499365	0.02311957
e	0.45043433	0.49205676	0.011899413	0.045609444
a	0.9281039	0.07101552	0.00039197947	0.0004886174
n	0.005300557	0.7675051	0.21238089	0.014813431
k	0.00500586	0.0340484	0.1252207	0.83572507
ò	0.1840569	0.5679042	0.04155685	0.20648214
r	0.94333816	0.055028282	0.0013833052	0.00025037996
a	0.007500706	0.18117718	0.65560603	0.15571608
m	0.8180323	0.15800537	0.001724785	0.022237482
a	0.0015212022	0.07429377	0.9073683	0.01681683
r	0.7459896	0.14423448	0.006487435	0.10328844
è	0.0004958263	0.00036032262	0.21996579	0.7791781
o	0.44570336	0.3457658	0.095352575	0.11317822
n	0.051473025	0.21772501	0.5669636	0.16383839
t	0.0030981908	0.000354394	0.20278256	0.7937649
a	0.06254731	0.0668529	0.23758687	0.63301295
</S>	0.07342001	0.019582571	0.052198704	0.8547987
