 	qui	dentro	deve	mettere	un	tappeto	</S>
c	0.93304163	0.04908969	0.007897432	0.0015105525	0.004529158	0.0008685192	0.0030628724
i	0.39984518	0.21217035	0.17942159	0.0053425855	0.08369389	0.108646646	0.010879704
ù	0.04744803	0.41648284	0.38536093	0.113808185	0.032891106	0.00091105513	0.0030979225
m	0.08564591	0.9065295	0.0040807133	0.00039942662	0.0025800704	5.892979e-05	0.000705424
è	0.24309704	0.057855427	0.07905976	0.05278333	0.15829341	0.40072933	0.008181655
s	0.14422008	0.84531367	0.009496899	0.00067342527	0.00028564088	1.5388483e-06	8.63189e-06
a	0.01567229	0.043954596	0.25371057	0.2852538	0.106484815	0.27909496	0.01582892
è	0.07059368	0.17600843	0.64032066	0.11097093	0.0020027547	2.7643468e-05	7.59445e-05
n	0.00016933976	0.021920998	0.0066505293	0.007814804	0.9535415	0.008540332	0.0013624239
a	0.0004662844	0.08558454	0.031471692	0.066200145	0.24487422	0.53586155	0.0355415
v	0.038633853	0.06991022	0.40492663	0.47361717	0.012548295	0.00020233571	0.00016163224
à	0.050886348	0.005860662	0.0059264894	0.0031310895	0.11119412	0.79143286	0.03156848
l	0.013665272	0.032621406	0.01576417	0.029232454	0.8943224	0.010101906	0.004292362
i	0.71165544	0.0099440655	0.01949588	0.027247181	0.03813235	0.17466539	0.018859698
è	0.094979696	0.27604723	0.12471755	0.3911299	0.09698772	0.009782333	0.0063556735
n	8.410487e-06	0.00024571875	7.910425e-05	0.0014203746	0.8808238	0.098251976	0.019170616
a	0.024939727	0.07593004	0.021149416	0.027322277	0.080998145	0.65486383	0.11479651
t	0.36336654	0.08518097	0.10244108	0.33473888	0.09355799	0.012881995	0.007832409
a	0.19330758	0.073655084	0.006323441	0.0045168693	0.03598913	0.52717054	0.1590374
p	0.2799663	0.18061198	0.053663917	0.2024946	0.19579676	0.035527773	0.05193865
p	0.03571457	0.008127669	0.0034199497	0.001978209	0.0153323775	0.84682196	0.08860525
è	0.13663605	0.119912274	0.0139546115	0.0051458487	0.086777344	0.46846366	0.16911018
t	0.0025871063	0.010398508	0.00071927765	0.0035690274	0.098363444	0.7153534	0.16900924
o	0.34777468	0.0148756495	0.0069728843	0.0032076398	0.023777002	0.5805057	0.022886408
</S>	0.026340507	0.30982733	0.01221213	0.027089104	0.111732826	0.22843121	0.28436697
