 	aveva	lavorato	tutta	la	settimana	</S>
ì	0.7508618	0.056470167	0.0044338848	0.07506563	0.04904241	0.064126104
c	0.037438076	0.5983626	0.007308213	0.27267706	0.07521933	0.008994719
h	0.10195911	0.11428531	7.651368e-05	0.10032218	0.68139577	0.0019611344
e	0.97624534	0.019079925	2.0764064e-05	0.0038022192	4.048078e-05	0.0008112867
p	0.74342906	0.15977083	0.0008016806	0.078352064	0.013088925	0.004557498
o	0.12997466	0.33528692	0.00088378123	0.09637547	0.43096712	0.006512115
l	0.78992206	0.15353037	0.004334178	0.046961706	0.00081055803	0.00444103
e	0.005185167	0.0050016292	0.00049839664	0.064966686	0.793969	0.13037914
m	0.15261504	0.34345523	0.010295725	0.47687268	0.005236707	0.01152463
ì	0.005738811	0.009277314	0.0008441019	0.10963218	0.7989205	0.07558706
s	0.027494065	0.09446414	0.0013646818	0.67080355	0.13413198	0.07174161
o	0.115207605	0.11523755	0.15272799	0.21668865	0.355808	0.04433022
n	0.35758182	0.26792473	0.13233072	0.22228014	0.006477326	0.013405156
t	0.0022438017	0.001250562	0.00016973598	0.03404404	0.9170763	0.045215495
a	0.13651673	0.16974746	0.014017386	0.5637527	0.0766378	0.039327864
ò	0.06265318	0.110743366	0.07848448	0.5810489	0.058395874	0.108674176
l	8.249616e-05	0.007995284	0.0010624971	0.2614301	0.55734754	0.17208205
i	0.0049396846	0.0011496996	0.00068108283	0.007461853	0.97240293	0.013364746
t	0.023452243	0.1072138	0.36888206	0.3566832	0.066014975	0.07775372
i	0.0034699778	0.00049249607	7.355672e-05	0.004379023	0.93117446	0.06041052
n	0.009466106	0.038723428	0.3614751	0.46433407	0.05910023	0.066901065
a	0.0010951133	0.00015556024	1.9002857e-05	0.0024151441	0.8722362	0.12407893
d	0.008059988	0.033008166	0.2583701	0.5273807	0.07325301	0.099928014
d	0.00093252124	0.0006836213	1.8100623e-05	0.002694792	0.96132296	0.034347933
o	0.19093685	0.0042070188	0.026973637	0.08015374	0.4853822	0.21234666
m	0.003987411	0.0056708897	0.033667345	0.030862262	0.45157102	0.47424105
à	0.007917203	0.0037190262	9.0202875e-06	0.002199803	0.9719501	0.014204832
d	0.00014039478	0.00023780456	0.0019636399	0.007346437	0.7974904	0.19282122
a	0.121204704	0.019852826	0.0023941314	0.011626394	0.8232795	0.021642493
</S>	0.0027864042	0.003985503	0.005038604	0.015498578	0.3405404	0.6321505
