 	dei	genitori	</S>
à	0.42700425	0.26357043	0.30942532
t	0.99598616	0.003451052	0.0005627319
t	0.23390825	0.47248062	0.29361114
u	0.99398166	0.0017815729	0.0042367517
s	0.98722595	0.0068646134	0.0059094075
g	0.026510634	0.19487245	0.7786169
e	0.98030543	0.012097805	0.00759675
n	0.8964365	0.042821623	0.060741913
i	0.038095314	0.82895315	0.1329516
t	0.6661077	0.077945754	0.25594652
ò	0.00086734147	0.6230618	0.37607092
r	0.81137234	0.07843276	0.11019487
u	0.059749514	0.78759176	0.15265869
</S>	0.20832822	0.2539859	0.5376859
