 	non	so	cosa	scrive	</S>
a46	0.881717565	0.1091612135	0.00444903085	0.004581205495	9.099541e-05
a8	0.615823161667	0.3773958245	0.00431994195	0.00183833352833	0.000622787056667
a31	0.527246290556	0.465247124833	0.00573366731667	0.000977275582777	0.000795707107889
a13	0.483471186852	0.507172001611	0.00850820610556	0.000485840544259	0.00036279911163
a31	0.492899382284	0.484168199537	0.0223110140352	0.000229358684086	0.00039206295721
a28	0.464962743761	0.509284198846	0.0250971126784	0.000244534520695	0.000411415695737
a31	0.202131434254	0.760548466282	0.0368306825595	0.000250555612898	0.000238856765912
a37	0.119128239418	0.840451655427	0.0397718093015	0.000408700323633	0.000239606222637
a31	0.194348734473	0.789528185142	0.0154057082155	0.000479522234544	0.000237860875212
a11	0.304026398158	0.574786675047	0.00867877220517	0.0704990394248	0.0420091334494
a31	0.384070842719	0.410937325016	0.00477440103506	0.0980071598083	0.10221029115
a20	0.37689911424	0.289557138339	0.0359982581784	0.123235333269	0.17431016705
a31	0.186653002413	0.156703269213	0.0511107667261	0.16565481109	0.43987817235
</S>	0.0951886477065	0.0797256542565	0.033295171363	0.140126755545	0.651663786175
