 	questa	canzone	ee	l	ha	scritta	un	poeta	</S>
a8	0.6908195	0.0254931487	0.02133299565	0.007089229	0.00210746727	0.0361964965	0.1259190495	0.087670805	0.0033713144
a23	0.524348472333	0.00956308856667	0.00823472245	0.003557815748	0.000838546788	0.0438688331667	0.1371814595	0.262621425	0.00978564606667
a31	0.186851547644	0.00333443628683	0.00353465267367	0.00232292933067	0.0002964420218	0.0657026077222	0.186350963167	0.540459208333	0.0111472284556
a28	0.065637295748	0.00112199739855	0.00130262486489	0.00208419705356	0.000103750539067	0.0548841825741	0.151402944389	0.715989286111	0.00747375091853
a20	0.0450325252493	0.000415974269517	0.0446115928716	0.00391241362785	0.000252851353689	0.092841530858	0.131697464796	0.670722452037	0.0105131986395
a31	0.0352091884831	0.000170324549716	0.0589454722939	0.00970608854262	0.000298884665196	0.299100306953	0.140839334932	0.445582944012	0.0101474252132
a8	0.0485366432277	0.000270641991449	0.103782405435	0.0229123485142	0.000153828149032	0.327629505651	0.156924644977	0.333540314671	0.00624967093773
a31	0.0559934257426	0.000308508864483	0.123708670145	0.0447602261714	0.000311520129677	0.24083838855	0.218852258326	0.31134838489	0.00387865434591
a20	0.0325836782475	0.000153161192161	0.203958835048	0.0717805870571	0.000422482136559	0.194864922517	0.203143232775	0.28792995163	0.00516317644864
a31	0.0877894794158	0.000135919634054	0.319989231683	0.108180537352	0.00404593705552	0.118084613839	0.114999824258	0.241169750543	0.00560470884955
a36	0.163831206472	0.000903583664685	0.342769787228	0.102220627117	0.00638682078517	0.0906915029463	0.0788984414193	0.175550226848	0.0387477818165
a24	0.238023735491	0.0025257966549	0.380335412409	0.0592677303723	0.00635594969506	0.0650107613154	0.0554920311398	0.132584295616	0.0604042589388
a37	0.209340983497	0.00415952965163	0.46496348747	0.0439441717908	0.00531432141169	0.101686169105	0.0498166410466	0.0895864252053	0.0311882339129
a27	0.100514916166	0.0176382948839	0.537631795823	0.0487135955969	0.00354965691723	0.177852136368	0.0445236493489	0.0583259317351	0.0112499827376
a8	0.0564018353887	0.031020468628	0.463556198608	0.0747929485323	0.00288866205574	0.268204172123	0.0592347904496	0.039302010245	0.00459887152587
a23	0.0332886054629	0.039903929876	0.348461306203	0.0909320761774	0.00185126816858	0.350328004041	0.0982688551499	0.034753736415	0.00221215285529
a31	0.0223999394876	0.032195331512	0.226671900068	0.0630254923925	0.00645255305619	0.34669226468	0.108276261717	0.173103808805	0.0211823705184
a37	0.0126502405625	0.023842937724	0.112295616689	0.0308711837975	0.00738736106206	0.345143884893	0.192905097239	0.246619102935	0.0282845063395
a29	0.0125976179208	0.126369542575	0.0784755588963	0.0391776072658	0.00385729919735	0.369955661631	0.211047130413	0.135602093312	0.0229174336132
a31	0.0124990660403	0.147805456292	0.0804064329654	0.0396687160886	0.00351133619912	0.312554020544	0.126764516804	0.243061403437	0.0337290215377
a13	0.00750358774677	0.0790379141973	0.0492812016551	0.0226502190295	0.00272078009971	0.272756173515	0.223807714268	0.315127061146	0.0271153285126
a31	0.00654762991559	0.0574661713991	0.0522813525517	0.0165906463432	0.00249294106657	0.247830051172	0.250024494756	0.323444313715	0.0433223731709
a8	0.00934184997186	0.0835254137997	0.0589160448506	0.0304258921144	0.00496220002219	0.197654283724	0.237967914919	0.327226097905	0.0499802787236
a31	0.011666106324	0.0974034135999	0.138684535617	0.0363614353715	0.0069693762074	0.159520517908	0.23128050164	0.259283875968	0.0588302372412
a21	0.0174456647747	0.197876286867	0.176461991872	0.0682178231238	0.0135467329358	0.119286799303	0.14489540388	0.199437829989	0.0628315017471
a31	0.0167740517916	0.237756545622	0.199322437291	0.0887113910413	0.0194490539786	0.121914873101	0.114319844627	0.12606832133	0.075683508249
a29	0.0140816811305	0.262993968541	0.20609815443	0.10248330368	0.0211269009929	0.122145464367	0.094002428209	0.09724284711	0.0798252474163
a31	0.0129382239102	0.284003149514	0.155834533477	0.131296135893	0.0372834849976	0.142697158122	0.086862199403	0.0631006457033	0.0859844704721
a46	0.0292255235034	0.238528683171	0.159385247826	0.185253913298	0.0539525059992	0.138044250707	0.062599279801	0.0460350845678	0.0869755196574
a31	0.0348047568345	0.23759954439	0.159531365942	0.199116684433	0.0710378463331	0.130707981569	0.0535279066003	0.0346455198559	0.0790283960525
a49	0.0379645299448	0.234999104797	0.159328728647	0.206899991478	0.0773244737777	0.12778169519	0.0489000935334	0.0305172886186	0.0762840880175
a3	0.0746782883149	0.276095598266	0.139522379549	0.251108190493	0.0795166895926	0.06624275973	0.0503166258445	0.0235509912062	0.0389684853392
a18	0.0965082444383	0.229145869422	0.13054882985	0.198587530164	0.0926761565309	0.0620264632433	0.0982329752815	0.0475329807354	0.0447409651131
a31	0.0690608788128	0.183872813141	0.148335503283	0.114636632388	0.077600012177	0.0879273544144	0.13565631176	0.0947376719118	0.0881728117044
a8	0.0677540636043	0.181651861047	0.174146481094	0.112338483129	0.0804038607257	0.0855843364715	0.115975520587	0.0900570559706	0.0920883365681
</S>	0.0988309718022	0.192861190524	0.174510000547	0.156053536564	0.101503390363	0.0625575007358	0.0933406802935	0.0582708609853	0.062071887284
