 	sta	seduta	nel	giardino	nel	giardino	</S>
a33	0.93079702	0.0117315524	0.009150141	0.0027090682	0.0144063274	0.0292082465	0.001997667675
a31	0.621680853333	0.0167755057333	0.0559492416667	0.00832301286667	0.162544391467	0.127537608833	0.007189379225
a20	0.256215006111	0.0173649658611	0.107391093889	0.0977465372889	0.347881620489	0.162097804278	0.011302972075
a31	0.130003728704	0.00626324847037	0.106654439963	0.155682784096	0.49993124683	0.0832829940927	0.0181815806917
a20	0.058552166568	0.00257098720679	0.104944493988	0.251527379699	0.49561050561	0.0691746810309	0.0176197844639
a38	0.042931740856	0.00120867417893	0.110671993329	0.4018619199	0.312227558537	0.124025448677	0.00707265088797
a31	0.0327405870853	0.000493259548977	0.102703077776	0.375279006633	0.337941452846	0.147880449559	0.00296215494932
a29	0.0350395708284	0.00106880067899	0.100372149259	0.291785598878	0.389120724282	0.167936393186	0.0146767621364
a20	0.0894431319428	0.001531555493	0.242370233086	0.204992958293	0.272719071427	0.169020624395	0.0199224568788
a31	0.0848503621809	0.000807856823333	0.287541417695	0.158624921431	0.219247470476	0.237488888132	0.0114391051263
a20	0.170940088927	0.00661898696678	0.213990299232	0.13278870181	0.202759123492	0.262709647711	0.0101931680421
a46	0.325644986309	0.0107340045556	0.224697866411	0.0929676719367	0.173433984497	0.160146209237	0.0123752996807
a31	0.24959970377	0.00786882921853	0.163514796804	0.157746413979	0.154165331499	0.184964298079	0.0821406148936
a20	0.27263970959	0.0130149092062	0.103712000268	0.17850635466	0.1153594885	0.21078602936	0.105981466631
a31	0.28127599653	0.0230400577354	0.234544673423	0.14033097822	0.100857360833	0.161559796453	0.0583911282103
a39	0.333733758843	0.0327665202451	0.290914707808	0.124279039407	0.076353763611	0.104451022151	0.0375012382368
a0	0.366811906281	0.041075306415	0.167742157936	0.103911633136	0.0717496878703	0.22219165405	0.0265176815789
a20	0.169582725427	0.0407137471383	0.0996461396453	0.099812957712	0.10056353929	0.444081464683	0.0455994115263
a23	0.135444715142	0.0631782903794	0.0964044815484	0.114390509237	0.10883868643	0.430687678228	0.0510555971754
a31	0.109635551047	0.0648311144598	0.0915558931828	0.116674483079	0.12202062881	0.372280242743	0.123002055725
a20	0.0964416330157	0.0462800698199	0.0655065090609	0.097884037693	0.126131352937	0.413099920914	0.154656507242
a31	0.103478784339	0.0674563086066	0.0967067350203	0.102504269231	0.123398727646	0.320889615305	0.185565631081
a46	0.108900028113	0.0954688528689	0.126026065007	0.14551946641	0.135782965882	0.199555563435	0.18874712036
</S>	0.146103714056	0.107598176434	0.123643462504	0.185593048205	0.141435182941	0.182842106718	0.11278434518
