 	tu	le	hai	cucinati	le	verdure	</S>
a46	0.74647345	0.082479886	0.00222078105	0.151970409	0.0038970552	0.0118997197	0.00105875549
a8	0.47604376	0.0794521816667	0.00149545495	0.410530576333	0.0067043994	0.0239131232333	0.00186053883
a20	0.228216418667	0.0426668795556	0.0370302658167	0.477848445444	0.141282606467	0.0676419944111	0.00531340477667
a8	0.143222268222	0.0328418381852	0.0592555009389	0.325497508481	0.220418377156	0.210919174804	0.00784536092556
a31	0.118726828741	0.0526520150617	0.0312235278463	0.392101729494	0.152177447385	0.247466169935	0.00565230297519
a37	0.0627657877137	0.0587721485206	0.0146337918154	0.630850476498	0.0979514734617	0.130404878312	0.00462149952506
a10	0.0339505013712	0.13597093634	0.0141135312718	0.656603318833	0.0535865914872	0.087850156104	0.0179250760417
a31	0.0483353304571	0.180705492113	0.0158747494239	0.573458432944	0.0704995498291	0.089812245368	0.0213142855472
a21	0.0442103455857	0.095798169371	0.0273165611413	0.626614000981	0.108076929943	0.089656498456	0.00832754211573
a31	0.0198880076286	0.0493225891237	0.0321169633804	0.71194972366	0.113884868314	0.069597522152	0.00324038076524
a10	0.0114668742095	0.0430412620412	0.0326051924601	0.66139344122	0.118523441105	0.129511073384	0.00345877081508
a17	0.0063888763365	0.0383392682804	0.02657676032	0.681836997073	0.0899982753683	0.153314177795	0.00354568136169
a20	0.00936915837883	0.0174413686935	0.01547911394	0.591773609024	0.0739893267894	0.199137549265	0.0928098843106
a31	0.00985992305961	0.0100655648645	0.0148104683133	0.377251209675	0.0728627595965	0.234803249755	0.280346828104
a39	0.113913811953	0.0162031035882	0.0173410037711	0.409905383225	0.0449182188655	0.144025473252	0.253693018601
a31	0.194576390651	0.0483161745294	0.048336700257	0.306284820408	0.0371283822885	0.0862347734173	0.279122728767
a8	0.27691461355	0.0668083648431	0.0786457167523	0.141637346136	0.0798148384295	0.0652469934724	0.290932066922
a39	0.308178834517	0.113167268281	0.112551352251	0.122952718712	0.11662821081	0.113493104491	0.113028480974
a8	0.205455794839	0.177805686094	0.14820455075	0.148080376237	0.111135294937	0.150368468164	0.0589498469913
</S>	0.18104916242	0.192669963047	0.154144265375	0.154728658119	0.119267287469	0.152350674082	0.0457900314957
