 	mia	sorella	quest	anno	che	viene	vuole	diventare	dottoressa	</S>
a31	0.29415603195	0.01005397365	0.3247679335	0.15374322	0.029271768	0.00147816261865	0.0331763775	0.150701785	0.00149813443	0.00115258055
a41	0.109767205283	0.00368276406616	0.308921273767	0.139716684333	0.03025968	0.00055566373865	0.305179750833	0.100038153667	0.00076246904	0.00111634821667
a31	0.056121070761	0.00123016148255	0.104514426189	0.0588247057777	0.117906902333	0.00029519940955	0.495371940278	0.164463589889	0.000329571841	0.000942446665557
a20	0.0308085049203	0.00041293814785	0.0372620047297	0.0361839202592	0.146673227444	0.00136487591318	0.478801456759	0.26747304663	0.000176662724667	0.000843370715186
a31	0.0186543879734	0.000138874704283	0.0166951445766	0.0569252917531	0.099534419148	0.00228521410439	0.429572375586	0.375343188877	0.000113008095889	0.000738085629729
a37	0.0188779116578	7.0596855761e-05	0.0328586141922	0.0980600119177	0.136047946383	0.00849872810146	0.318386888529	0.378725686292	0.0010974821263	0.00737608080124
a16	0.146360772219	5.6355921587e-05	0.0819186780641	0.134548178639	0.112583717128	0.0172230953672	0.24821022951	0.243289762097	0.00488421630877	0.0109249472671
a35	0.23878777074	3.46402831957e-05	0.155074409355	0.146060526213	0.0647851967093	0.0183252981224	0.16416263317	0.195094594032	0.0119961061029	0.00567884442237
a24	0.154342896913	3.61558693986e-05	0.185852773118	0.104672171404	0.0491759329031	0.0224219157075	0.16932386439	0.185452321344	0.119167422034	0.00955454514079
a31	0.0685089313377	3.18187921329e-05	0.116385328706	0.063542881468	0.046254534301	0.0247580742358	0.160667574797	0.351049633781	0.151738132345	0.0170630710469
a39	0.0438271214792	2.5185300711e-05	0.0456525862353	0.049144780156	0.0878585001003	0.0171329970786	0.142814574932	0.545355044594	0.0550291936483	0.013160035449
a31	0.0353318002531	2.4569140237e-05	0.0211690615784	0.040807017052	0.105184840033	0.0157497563595	0.125800951644	0.629226094865	0.0200965663494	0.00660935381633
a20	0.0368098478444	9.43869257457e-05	0.0120224263595	0.0330853503507	0.121841590011	0.0161863214532	0.109381633881	0.656012311622	0.00916218338313	0.00540394633878
a31	0.0373285038248	0.000129312343249	0.00888504425317	0.0254932144502	0.130994288004	0.0174267924844	0.125905081294	0.645215390541	0.00473724281438	0.00388516747959
a3	0.0805926524849	0.000516356349083	0.00984342855106	0.0252533028167	0.161481587335	0.0252796674948	0.127107343765	0.556851276847	0.00826141695813	0.00481301035986
a20	0.111755890828	0.00152924681636	0.0152773438504	0.0283561002722	0.188427832445	0.0492910724983	0.155456521255	0.399270228949	0.027124603986	0.0235111734533
a31	0.0545854605427	0.00144318947879	0.0112721312168	0.0190070467574	0.117613087482	0.0790111908328	0.200544060418	0.458208696316	0.0276307912953	0.0306843954844
a37	0.0549115024476	0.00121137776626	0.00856864767227	0.0163203175858	0.127638315827	0.0627157396109	0.158857674806	0.540705875439	0.0137996978984	0.0152708891615
a31	0.0550587201825	0.00160410138875	0.00920613422409	0.0147753920619	0.131820374276	0.033819204537	0.130063376269	0.606937325146	0.00899528606613	0.00772005615383
a20	0.0753153907608	0.00535866926292	0.0197171367414	0.021342252554	0.150882700425	0.028842431179	0.119888098756	0.562490385049	0.010152690622	0.00601020648461
a28	0.0896477669203	0.0108240645876	0.0277206722471	0.0278889681847	0.192337113475	0.0272244747263	0.0886030709187	0.50798933835	0.0195913385407	0.00817315749487
a31	0.0381810687068	0.0100338460292	0.0191528004157	0.0166445210616	0.117893713158	0.0272568295754	0.0929047633062	0.64452739945	0.0176568429469	0.0157481888316
a20	0.0578499126356	0.0160610880097	0.0292097181386	0.0264146540205	0.114197289719	0.0321190765251	0.115656956102	0.578270969817	0.014145658749	0.0160746614439
a31	0.0646989583785	0.0309812743366	0.0554142227129	0.0350821096735	0.12093774324	0.0450568235084	0.157895298701	0.420209059939	0.021769359583	0.047955133648
a33	0.0725312902928	0.0662546231122	0.089122087571	0.0623228932245	0.100669717747	0.0714842751695	0.145365375234	0.308110196646	0.023518569861	0.0606209505493
</S>	0.111874120146	0.0950910865561	0.111328823785	0.0972720466123	0.120219398873	0.0900220945847	0.098948791117	0.218320433323	0.0204994899305	0.0364236892746
