 	forse	stanno	ancora	svegli	</S>
a31	0.1599858485	0.162754421	0.499812665	0.154146785	0.023300259
a10	0.0636571148333	0.105412114333	0.741323788333	0.076298962	0.0133079786667
a20	0.0290523632778	0.221051071444	0.716952862778	0.0271477932	0.00579587168223
a31	0.131114446426	0.307238633815	0.547976737593	0.0113069412667	0.00236322232074
a18	0.231527478809	0.343521961272	0.418040279198	0.0056921756889	0.00121805456025
a31	0.386294389603	0.318523887091	0.290038846399	0.0042139849963	0.000928835873417
a35	0.561441229868	0.189353272364	0.242715352133	0.00500636716543	0.00148375845781
a31	0.618040859956	0.128273684121	0.199118964044	0.0452042387218	0.00936225511927
a10	0.451139094652	0.19466231804	0.258599734681	0.0746061035739	0.0209927517064
a20	0.191799440884	0.337494439347	0.380558224894	0.0624650745246	0.0276827915688
a29	0.136926734961	0.295042098116	0.379379401631	0.122169637508	0.0664820971896
a20	0.12152553332	0.168979567705	0.299217963877	0.265255185836	0.145021722397
a31	0.07777002244	0.143257252568	0.276448764626	0.274641678612	0.227882250799
a28	0.0865846738133	0.170870940856	0.284373284875	0.253576279537	0.204594804933
a8	0.150608221271	0.188148796952	0.203156998292	0.340872079846	0.117213924311
a21	0.16192710709	0.171743225651	0.164679672764	0.377568823282	0.124081196104
</S>	0.154673518545	0.156683472825	0.155492646382	0.378727891641	0.154422478052
