 	vuole	andare	a	Lecce	</S>
a20	0.9730937	0.0028958997	0.00471050885	0.0188325775	0.00046729954
a31	0.965599233333	0.0103118070667	0.00578296471667	0.0168364345467	0.00146955498
a18	0.915338344444	0.0117008816722	0.0548217430056	0.0134323148956	0.00470674099333
a46	0.895540138148	0.00407369056407	0.0707655008019	0.0247804819652	0.00484016810444
a37	0.687312412716	0.00275391174469	0.0444627474006	0.262263569655	0.00320732714148
a23	0.330919642572	0.00397071578156	0.0429112008002	0.617523773218	0.00467466024716
a18	0.144044481757	0.00374963032719	0.0228926611001	0.824856157739	0.00445707918239
a38	0.053460001819	0.00413541250906	0.00951267453337	0.928383495913	0.0045084269608
a37	0.0320933169397	0.0869184738364	0.0656429158445	0.727944948638	0.0874003383203
a31	0.0331394053132	0.119616488279	0.133525078615	0.443393442879	0.270325586107
a20	0.0450691537711	0.138117616426	0.157171869538	0.38944011096	0.270201278702
</S>	0.0549171268856	0.205536758213	0.171509119769	0.39905877048	0.168978279351
