 	un	forno	che	fa	buon	pane	</S>
a31	0.4003297565	0.025895178	0.0164154305	0.1290991502	0.078196009	0.349418005	0.00064645275
a20	0.169328833167	0.0455861306667	0.0119265156333	0.160319356733	0.119103155667	0.492765631667	0.000970350916667
a28	0.195169761056	0.125684270222	0.00568051934443	0.108059512244	0.204471108556	0.360011638889	0.000923150112222
a31	0.177448898019	0.123684445407	0.00755173044814	0.178506547415	0.354184806185	0.158163407963	0.000460127898741
a18	0.19604173034	0.208815297136	0.00931200881605	0.188983680805	0.322174916062	0.074466659321	0.000205652974247
a13	0.424281350113	0.334079839045	0.00573605403868	0.072240379035	0.116516227021	0.0468714924403	0.000274572481416
a39	0.570455986704	0.315067869682	0.00427170611289	0.0276008767117	0.0512137173403	0.0277722078134	0.00361758073047
a20	0.483110425568	0.368032013227	0.00959818937096	0.0199896518372	0.0449840254468	0.0568252656045	0.0174604369102
a31	0.286145928523	0.298538364409	0.014966779457	0.0482467502791	0.0683013074823	0.215565420535	0.0682354689701
a20	0.278109532841	0.147098538136	0.012575236719	0.0602050307597	0.151268892494	0.276819280178	0.0739235143234
a39	0.316997437614	0.147801442712	0.042044996473	0.0701247209199	0.189103064165	0.193615750059	0.0403126144411
a18	0.272461419205	0.190008997571	0.0872825871577	0.0979357919733	0.142014281388	0.165767836686	0.0445291188137
a39	0.274038496402	0.19448120919	0.0995152557192	0.108956148991	0.116625320463	0.154580042229	0.0518035419379
a46	0.210131422134	0.136208045063	0.0718877039064	0.134355509664	0.177917453488	0.224874520743	0.044625339646
a38	0.140930547378	0.0787177353543	0.0393619706355	0.178871653221	0.207340831163	0.319662483581	0.0351147632153
a39	0.157983499126	0.0799318567848	0.0417091418785	0.200130091074	0.146253390388	0.32215263786	0.0518393554051
a31	0.139968390709	0.0885811802616	0.0550736369595	0.216912790358	0.101703084463	0.303412069287	0.094348835135
a18	0.104528351236	0.0784585280872	0.0523115183198	0.221952783453	0.094341295821	0.352976139762	0.0954313737117
a31	0.0987911657453	0.0994593193624	0.0429636367733	0.192222671151	0.0819726229403	0.415562023254	0.0690285499039
a41	0.100330320582	0.120311683121	0.0574734822578	0.172485210384	0.0959147519801	0.380015524418	0.0734690433013
a35	0.139719793527	0.115432037707	0.0812194874193	0.167461950128	0.12464155066	0.294043871473	0.0774813777671
a31	0.143667151176	0.138162429236	0.0694343181398	0.165440480043	0.08533475022	0.320115593824	0.0778453292557
a28	0.123086447059	0.141134413079	0.0672733517133	0.159421293348	0.0866116000733	0.334842121275	0.0876307764186
a27	0.15892291902	0.13023081436	0.0917536125711	0.152968331116	0.112674946691	0.258838323758	0.0946110654729
a13	0.188563129673	0.128440251453	0.096458702857	0.155444013705	0.10675494223	0.233459807919	0.0908791718243
a46	0.186640359891	0.129796137151	0.105308514286	0.155143441235	0.113089080743	0.215126855973	0.0948956272748
a24	0.244162389964	0.148364335717	0.102824161429	0.134529520412	0.0998812409143	0.186564305324	0.0836740324249
a39	0.274835896655	0.150070995239	0.0913595904763	0.129581003471	0.0850373676381	0.196296895108	0.072818237475
a31	0.251714768885	0.174874618413	0.0857072934921	0.115681227824	0.075568971546	0.226359971703	0.070093153825
a11	0.219959416295	0.184222406138	0.0945696044974	0.109394765941	0.0852879195153	0.224485410568	0.0820804826083
a31	0.222572228765	0.166069005379	0.0994391294991	0.110565116647	0.0967156365051	0.213442623523	0.0911962842028
a21	0.218291186255	0.15923822846	0.1019776945	0.109041570216	0.110100068835	0.206846237841	0.0945050314009
</S>	0.177003923127	0.14524280923	0.11580532725	0.122766560108	0.137800629417	0.19176819392	0.1096125557
