 	la	sorella	mia	si	non	è	venuta	ancora	ancora	qui	</S>
a31	0.0951550728	0.0044707835	0.0126198245	0.312480338	0.131304522	0.0038377514	0.300995115	0.073037074	0.061301555	0.0015435027	0.00325441035
a14	0.0364319238	0.00245488591931	0.0070810829815	0.308275441767	0.128894493	0.00153443111233	0.406484251667	0.051352484	0.0526114683333	0.00188198156667	0.00299752368333
a11	0.0167864155667	0.000818323714064	0.00236160660997	0.104356062126	0.0438452864133	0.00051518267811	0.755324767222	0.0341661713333	0.0388926204444	0.00134671978022	0.00158685637778
a31	0.00699674015557	0.000273092246792	0.000873674127957	0.191723993145	0.140586958551	0.00021985517437	0.589446454407	0.0395701684444	0.0292018264815	0.000496189782073	0.000611079472593
a46	0.0216692840519	9.18659567507e-05	0.000391757658652	0.221469473515	0.17408619195	0.00012395782879	0.514875133469	0.0415202661481	0.0251305688272	0.000293386434691	0.000348145404198
a33	0.0354432420173	3.16847471836e-05	0.000283642258884	0.0766523979717	0.0600490702167	9.23705935967e-05	0.79267071449	0.019711026716	0.0142950119424	0.000485783004897	0.000285092818066
a23	0.0235882082391	1.16029421279e-05	0.000271798952961	0.0294505848906	0.0213478286056	0.000132563577866	0.90276952483	0.0116423642387	0.00927993931413	0.00124867518497	0.000256934682689
a31	0.0109147370464	4.7502190093e-06	0.000226748327654	0.0126649274969	0.00915081126853	0.000671911672622	0.856644758277	0.0806952940796	0.017993647438	0.00409186372832	0.00694056610423
a21	0.0154739207488	4.4297418031e-06	0.000196371739218	0.00612152456563	0.00931788508951	0.000817115780874	0.617144802759	0.256182068027	0.081053759146	0.00453161049277	0.00915651255474
a24	0.0669934369163	3.09336799344e-05	0.00174507595307	0.0232938322885	0.0288190773632	0.00428942515029	0.35039482092	0.347066439342	0.132019156382	0.0376413904143	0.00770639370491
a46	0.0833154623054	0.000146976376645	0.00244852656436	0.0311508620962	0.0539645171211	0.00567223523676	0.24447200364	0.406722566447	0.110006602127	0.0535323781381	0.0085678425683
a20	0.0749528274351	0.000256334925548	0.00226516650145	0.0237596146987	0.0522792350404	0.00487526126559	0.219853174547	0.402762845482	0.081282712709	0.116772354046	0.0209404358561
a31	0.0641471925784	0.000187569184516	0.00214380303382	0.0230329412329	0.0350465096801	0.00540842722186	0.224551634849	0.327664508494	0.136902122903	0.149788941349	0.031126325952
a7	0.0337877136261	8.66981275053e-05	0.00093573108794	0.012625408611	0.0245634118934	0.00299597112062	0.183707811616	0.488624792831	0.166153237634	0.068260434183	0.0182587734507
a10	0.0356467872087	0.000260575515835	0.00138307450598	0.00847593007033	0.0206027982978	0.00223196615354	0.151308713872	0.50931304761	0.127481072545	0.120970595128	0.0223254386169
a31	0.0274879432029	0.000318994471945	0.00174690908533	0.00743350789011	0.0155947772659	0.00281288925118	0.223676347957	0.40654630587	0.119433524182	0.166795958376	0.0281528632056
a0	0.013037022201	0.000193153907315	0.00101022100511	0.00343536466337	0.0139824705886	0.00208226329706	0.179223766986	0.577940208623	0.108972899727	0.0855944184253	0.0145281920552
a31	0.011537313067	0.000724425969105	0.00369064899504	0.00384778972112	0.0190804485295	0.00615406631235	0.080034166662	0.592477562874	0.176456618242	0.0880110217751	0.0179858946717
a37	0.009797148289	0.0010528043097	0.00477044693168	0.00412668537371	0.0183822335098	0.00760218773745	0.046835961554	0.602418047625	0.196205366081	0.089255588725	0.0195535022906
a20	0.0104506090297	0.0020514559899	0.00360148074389	0.00429546712457	0.0381893115033	0.00452346571248	0.0268884488513	0.696890935875	0.16794660536	0.035200590375	0.00996162449687
a37	0.0234755266766	0.00451231682997	0.0053612805813	0.00794210457486	0.0811999305011	0.00589102107083	0.0281250519504	0.581384078625	0.21464856512	0.0321174604583	0.015342678499
a13	0.0358919682255	0.00614186227666	0.00668109676043	0.0109329148583	0.108509370167	0.00723616919028	0.0392280973168	0.465057846208	0.24623145504	0.0471805878194	0.026908637833
a39	0.0432103880752	0.00693563675889	0.00740832482014	0.0121108142861	0.112250160056	0.00817656856343	0.0424402724389	0.420667888736	0.263217058347	0.0523865499398	0.0311963502777
a17	0.0496646580251	0.0154623939196	0.0159617106067	0.0198913910954	0.0979258100187	0.0168139708545	0.0437943541463	0.438091539579	0.237566419449	0.0402720163133	0.0245557720926
a28	0.0560560793417	0.0190190116399	0.0195818818689	0.0226578741985	0.0810034650062	0.0206168059515	0.0417320587154	0.44211838986	0.23140493315	0.0399034944378	0.0259059976975
a31	0.0527993771139	0.01254696988	0.0146733149563	0.0153356328995	0.0546056863354	0.0137100019838	0.0408323702385	0.35687142662	0.26745988105	0.114519364813	0.0566459008992
a0	0.0540113363713	0.02209086696	0.0248409193188	0.0242896922998	0.0471042184451	0.0233145356613	0.0483318810795	0.30283659554	0.245534473683	0.137876574938	0.0697688419664
a13	0.0703605754571	0.0405495789867	0.0420343924396	0.0428328497666	0.0672887444817	0.0426712972204	0.0563095980265	0.312718321847	0.196197701228	0.0786533123127	0.0503836013221
a31	0.0697441741524	0.0368980924956	0.0386547044799	0.0372200702555	0.0543880641606	0.0367688504068	0.0541834680088	0.275627807282	0.193754187076	0.125849394771	0.0769111894407
a37	0.0667893403841	0.0399318703319	0.0416694084933	0.0391411624185	0.0493626657202	0.0387454961356	0.0584859263363	0.232906482427	0.184498075692	0.15129600159	0.0971735748136
a8	0.0853050867947	0.0666236181106	0.0675324428311	0.0668178041395	0.0750984585734	0.0673781420452	0.0775945587788	0.189531560809	0.138175675231	0.0947730338633	0.0711696166045
</S>	0.0978944533974	0.0796441160553	0.0803955214156	0.0800016620697	0.0854964692867	0.0810700260226	0.0862723118894	0.154897060404	0.116564862616	0.0776133119316	0.0601502083022
