 	puoi	non	parlare	di	questo	con	Anna	</S>
a31	0.05789417615	0.032970814	0.0310911455	0.0041390288	0.1679725025	0.494979325	0.210165575	0.0007874205
a20	0.0309244104833	0.0446703306667	0.0260044175	0.00209983736667	0.1186646425	0.467053339	0.309296808333	0.00128618446667
a11	0.0349179344944	0.0497169425556	0.01397832339	0.000958972715557	0.399918674167	0.160207912421	0.338933116111	0.00136811634556
a10	0.0258515193981	0.0245547528519	0.00552312845333	0.000350587398519	0.753349561389	0.0534477931643	0.13643804537	0.000484616365853
a39	0.135009311033	0.0543894606173	0.00533945341778	0.00016327291284	0.730766023796	0.0178758215868	0.0562766184567	0.000180039235284
a7	0.243526263678	0.0718156968724	0.00718816297259	0.000248113950947	0.629820374599	0.0061650782576	0.0407357988189	0.000500517964428
a37	0.314027504559	0.0664983889575	0.0346500266575	0.000403296070316	0.508697704866	0.00263320708587	0.071182500273	0.00190738575481
a8	0.496031024853	0.0832432063192	0.0848092655525	0.000308847110105	0.261053704955	0.00134878707196	0.0710375927577	0.00216754429827
a18	0.543232324951	0.105625272106	0.125859031851	0.000943783270035	0.146035318318	0.00226656776732	0.0633148789192	0.0127227904794
a46	0.451399958317	0.0963489480353	0.249575347284	0.00120378286334	0.117774969439	0.00286079738911	0.0630752116397	0.0177609684931
a31	0.292286624439	0.0617003513451	0.254792480428	0.00604434916111	0.158087949813	0.015059486363	0.17192269588	0.040106029831
a18	0.26459214648	0.0415209307817	0.221502408143	0.00773109402037	0.181989461271	0.0191170627877	0.212998836293	0.0505480489437
a24	0.30695757216	0.0395607649272	0.357194452714	0.00346534877346	0.131317908424	0.0101089545959	0.105213456431	0.0461815253146
a28	0.209128454053	0.0453142263091	0.326992287571	0.00280103355782	0.0968297194747	0.0170926808653	0.132687995477	0.169153555105
a31	0.120922682018	0.039284557103	0.16556234919	0.00266297515261	0.0832859331582	0.0234786582884	0.329381971826	0.235420865035
a20	0.141537224673	0.033985149701	0.23808303973	0.00331492235087	0.0755920393861	0.0180458374295	0.345652553942	0.143789249345
a31	0.141454722224	0.0247609909003	0.26049191591	0.00334497665029	0.0507977911287	0.0142509348098	0.371530731314	0.133367934115
a3	0.111548631408	0.0252355409668	0.235578664637	0.00786365891676	0.0364749620429	0.0179989009366	0.402463493771	0.162836171372
a31	0.102919351469	0.0275499223223	0.223897156879	0.0103869018723	0.0296738910143	0.0236970709789	0.35279221459	0.229083520457
a20	0.0787563201563	0.0333601211074	0.157675134293	0.0208947278574	0.0349474436714	0.034288236993	0.342790714863	0.297287296819
a31	0.0653882287188	0.0340940820358	0.132156898431	0.0324640289525	0.0369031658905	0.0437284466643	0.236181114954	0.419084032273
</S>	0.0373992793594	0.0262491395179	0.0734273897155	0.0308183039763	0.0229069174453	0.0455834558321	0.215840857477	0.547774666137
