 	siete	cucinato	</S>
a20	0.5092671575	0.4881682301	0.0025646456
a31	0.5256596725	0.4702077301	0.0041326231
a18	0.528897730833	0.465033068033	0.00606922526667
a21	0.839639096944	0.156424379711	0.00393651677222
a37	0.940178532315	0.053645173937	0.00617627237407
a21	0.863434210772	0.046969100979	0.0895966551247
a31	0.821189770257	0.0539636563263	0.124846543042
a18	0.760968910086	0.108040580109	0.130990482347
a31	0.470105876695	0.30485501337	0.225039074116
</S>	0.294572668348	0.436581386685	0.268845907058
