 	si	è	rotta	la	coppa	</S>
a31	0.4270307	0.14835221	0.0167963325	0.40003727995	0.004053698015	0.00372978
a20	0.485157433333	0.085179334095	0.0147548564333	0.410124563317	0.00138676811833	0.00339703910333
a19	0.812531531111	0.0284208167707	0.00715455427777	0.149637370439	0.000912605409443	0.00134306185111
a18	0.893751187037	0.00996830706757	0.0103317329593	0.0643297494797	0.0193944910698	0.00222451739704
a27	0.740784632346	0.00511223618919	0.0306469913198	0.103356196493	0.0975472886899	0.0225527336323
a31	0.472082780782	0.00861922472973	0.0613769824399	0.263506085498	0.134284939563	0.0601300388774
a39	0.264296603594	0.0207689472432	0.10013548748	0.381221121833	0.113407309854	0.120170544959
a31	0.123110536198	0.112482035748	0.140342935827	0.298920797278	0.118498074951	0.206645641653
a46	0.114681837066	0.148272957583	0.174864665276	0.207739592426	0.158392623317	0.196048317218
a31	0.112215439022	0.140146221528	0.249441225092	0.182007054142	0.167445502439	0.148744515739
a20	0.070266349674	0.144115787176	0.254129731697	0.160177328047	0.237508582146	0.133802195246
</S>	0.077941354837	0.108335298588	0.202115500848	0.165420739023	0.335574691073	0.110612412623
