 	non	mi	aspetti	che	non	vengo	</S>
a31	0.75265242	0.046540404	0.001873861	0.039817342115	0.1531052492	0.001304793935	0.0047059809
a37	0.435885034	0.196325795667	0.00132264073333	0.0423289883717	0.318850473067	0.000599484235	0.00468763511333
a31	0.256490435333	0.324910781889	0.00202629201111	0.0241176564572	0.388625767689	0.000629929145	0.00319917051778
a24	0.205021850444	0.252224163963	0.0027884633037	0.0263426828191	0.50777619923	0.001199698915	0.00464693650593
a46	0.368007278815	0.155927534654	0.0019790382779	0.0211378109397	0.446548095743	0.002617925005	0.00378227818198
a31	0.413871345938	0.0798549466513	0.00113820350263	0.148911762313	0.349894794581	0.00398991720167	0.00233900247399
a1	0.285300374979	0.0832815973171	0.00357600990088	0.204115167438	0.322801121527	0.0387554340672	0.0621702992247
a31	0.367452344993	0.0873290477724	0.00493947083363	0.149734582479	0.212453453842	0.0922026126891	0.0858884964082
a20	0.319963994998	0.258642924591	0.0103874418112	0.133784458493	0.158930227281	0.082540173563	0.0357507980361
a41	0.198048234999	0.368803654864	0.0290734786037	0.0911699004977	0.0816761317603	0.206454950521	0.024773671912
a31	0.0954738159997	0.198491062288	0.100339846201	0.0699760078326	0.10066459392	0.262413983507	0.172640697304
</S>	0.0587805094999	0.126780977144	0.159511598101	0.0487742204163	0.12323856696	0.165764241754	0.317149898652
