 	perché	aveva	lavorato	molto	</S>
a46	0.68975824	0.077789507	0.102017469	0.128984759625	0.0014499983
a31	0.394547817667	0.056735699	0.374188706333	0.172373396542	0.00215436403333
a17	0.153601365556	0.02559969203	0.674082252111	0.145087255514	0.00162939257778
a31	0.076148162852	0.00885725475333	0.741238304037	0.162690565171	0.0110656729259
a37	0.147551963284	0.00321502176831	0.523691086346	0.31127149839	0.0142703947953
a31	0.343216127761	0.00123751945997	0.300460493782	0.349350862797	0.0057349894851
a18	0.300579608254	0.00057958143699	0.196471747594	0.499484034266	0.00288507472837
a10	0.229864395085	0.00020760804933	0.131684125531	0.635043918089	0.00319999207612
a31	0.267238761695	9.228734311e-05	0.150099345177	0.576811082696	0.00575853569204
a46	0.159739351898	0.00238397975437	0.098857429059	0.733867814232	0.00515144646401
a20	0.261436191966	0.00599178258479	0.067849730353	0.642920118077	0.0218022130547
a11	0.559944560655	0.00683448412826	0.065899423451	0.328115752692	0.0392058190182
a18	0.625661303552	0.0105541366428	0.0583639211503	0.255701350897	0.0497193063394
a31	0.386918802851	0.00991630608093	0.0831899023834	0.448892316966	0.0710826654465
a0	0.259354902617	0.042968280227	0.0901827627945	0.518496615655	0.0889974251488
a31	0.244496669206	0.0573970357423	0.108207034265	0.466121348552	0.123777921716
a8	0.171910111402	0.104765690914	0.137609341422	0.444508422851	0.141206460572
a31	0.174155547134	0.140623016971	0.186129547141	0.355691267617	0.143400623524
a7	0.182025359045	0.154933075657	0.216379715714	0.301424735872	0.145237107841
a31	0.128562620682	0.183192961886	0.236408271905	0.301537591957	0.150298562614
</S>	0.073935081841	0.162204945943	0.275820035952	0.322941475978	0.165098486307
