 	dove	aveva	per	stare	non	aveva	</S>
a24	0.98031175	0.00317032365	0.0046718093	0.000413896235	0.010679823935	0.00049668066	0.000255609259
a20	0.9643743	0.00129853178333	0.00351828635333	0.00126788406833	0.025025082645	0.000696017866667	0.003819852743
a13	0.92578417	0.00153058286111	0.0169190451711	0.00945329135611	0.0282966048817	0.00547562928889	0.012540658581
a37	0.844491343333	0.0028726325537	0.057663742057	0.0292892071187	0.0320607029606	0.0160113024296	0.017611091527
a24	0.670429897778	0.00422538618457	0.0806059126857	0.0479808513729	0.0728973643202	0.0712302118099	0.0526303991757
a31	0.385616835926	0.00335833347486	0.0577725645619	0.0889895204576	0.314912524773	0.08467818727	0.0646720123919
a20	0.449659931975	0.00154477027162	0.038719780854	0.0863134328192	0.358418945924	0.03613373609	0.0292094157973
a0	0.706564260658	0.00496905845721	0.0409262459513	0.0594406016064	0.131136262308	0.0368728223633	0.0200907622658
a20	0.691101656886	0.0107805611524	0.0806472453171	0.0860044152021	0.053711658436	0.0508280151211	0.0269264420886
a31	0.447662635629	0.00881616228413	0.0973357127724	0.187667015067	0.105619091145	0.051462296707	0.10143708403
a8	0.385500841876	0.011055747328	0.109098188591	0.189415190356	0.137473879048	0.0480828682357	0.11937327301
a23	0.568954357292	0.0255253441093	0.138577172864	0.100927755452	0.0762248783493	0.0423445237452	0.0474459820033
a38	0.506723329097	0.0556275230364	0.126313705955	0.102474555151	0.0723474994498	0.0871433835817	0.0493700300011
a33	0.342393016366	0.0835194163455	0.135354253652	0.11198311505	0.0817887731499	0.161959491194	0.083001936667
a31	0.213327052122	0.0679472234485	0.141939217884	0.11709476635	0.219523617717	0.136472332398	0.103695785556
a24	0.321268657374	0.0389904428162	0.107687837961	0.10365654145	0.258774203239	0.0799210361327	0.089701323852
a18	0.375943967125	0.0572246332721	0.102826754654	0.102872911817	0.13041160508	0.158298792044	0.0724213879507
a31	0.179137724375	0.0868924257574	0.154023628218	0.128987980606	0.11552285336	0.182593087348	0.152842337317
a33	0.254179748792	0.0819266899191	0.152568322739	0.125159560202	0.0995660084533	0.118371759116	0.168227959106
</S>	0.400331304396	0.0730540149595	0.118618566369	0.109439965101	0.0789953727266	0.111659089558	0.107901729553
