 	l	ha	scritta	</S>
a20	0.73431838	0.0216304695	0.2439570295	9.4125476e-05
a31	0.411438033033	0.0381181948333	0.5503906265	5.31570593333e-05
a35	0.148696815378	0.0384236646678	0.8128249855	5.45630397778e-05
a31	0.0655331977927	0.0169167566126	0.916134861833	0.00141522460993
a35	0.119270087264	0.00976329047087	0.869069037278	0.00189761265331
a31	0.182580249088	0.00409233115696	0.812464215759	0.00086321904777
a41	0.188436539696	0.00253928751899	0.808336558586	0.00068762664259
a31	0.404665709899	0.001845899073	0.592853886195	0.000634509894197
a11	0.7149116833	0.001672133691	0.281842252065	0.0015739547314
a18	0.826774217767	0.001398093597	0.168702887355	0.00312480491047
a13	0.627368189256	0.00683189106567	0.348938909118	0.0168609886368
</S>	0.431635284628	0.0125944415328	0.525736654559	0.0300336093184
