 	dovevo	comprare	il	pane	</S>
a31	0.501366766	0.3888818683	0.1092529183	0.000493323789	5.120164e-06
a46	0.416481099333	0.460021432767	0.118520687767	0.00494588172967	3.08843533333e-05
a31	0.712205966444	0.230486548922	0.050582331289	0.00666013450989	6.49928944444e-05
a18	0.892067278815	0.084935665974	0.0184409301963	0.0044959002033	6.01817681481e-05
a13	0.949502099605	0.0362402009913	0.0071370272121	0.00698566116777	0.000134991929383
a0	0.964715496535	0.0178992464971	0.00306578998403	0.0115686590559	0.00275079289979
a20	0.928622912178	0.0141367346657	0.00329521902801	0.0251788656853	0.0287662249666
a7	0.844856337393	0.0139414998886	0.00762163954267	0.0519489835618	0.0816315049889
a20	0.731187245798	0.0182628232962	0.0187352878476	0.0827431728539	0.14907146833
a31	0.599867441933	0.0180929118321	0.0286785046159	0.151107280951	0.20225384611
a11	0.629001907311	0.00975188867737	0.0232085587053	0.186268666984	0.15176894837
a39	0.590696769104	0.0236167755591	0.0237633000684	0.291024498995	0.07089864579
a31	0.367229366368	0.0382982251864	0.0506599980228	0.419442949665	0.124369448597
a13	0.361250932123	0.0378775727288	0.0631901493409	0.392400176555	0.145281117866
a17	0.361948160708	0.0670356685763	0.082671416447	0.389642852185	0.098701857622
a31	0.227909363569	0.133147222859	0.103276738816	0.394435804062	0.141230865874
a46	0.201394597856	0.147641074286	0.109538926272	0.382433008021	0.158992391958
a20	0.226000779285	0.132132258095	0.122559528757	0.392571432674	0.126736012319
a31	0.187484956428	0.178107306032	0.115678286252	0.338994930891	0.179734529106
</S>	0.145644978214	0.217145953016	0.107319158126	0.288421480445	0.241468414553
